date,open,high,low,close,volume
2023-09-11,108.14,108.14,108.14,108.14,0.0
2023-09-12,108.09,108.09,108.09,108.09,0.0
2023-09-13,107.72,107.72,107.72,107.72,0.0
2023-09-14,108.82,108.82,108.82,108.82,0.0
2023-09-15,107.78,107.78,107.78,107.78,0.0
2023-09-18,107.47,107.47,107.47,107.47,0.0
2023-09-19,107.32,107.32,107.32,107.32,0.0
2023-09-20,107.62,107.62,107.62,107.62,0.0
2023-09-21,107.11,107.11,107.11,107.11,0.0
2023-09-22,106.84,106.84,106.84,106.84,0.0
2023-09-25,105.94,105.94,105.94,105.94,0.0
2023-09-26,105.66,105.66,105.66,105.66,0.0
2023-09-27,104.92,104.92,104.92,104.92,0.0
2023-09-28,103.67,103.67,103.67,103.67,0.0
2023-09-29,105.11,105.11,105.11,105.11,0.0
2023-10-02,104.73,104.73,104.73,104.73,0.0
2023-10-03,103.88,103.88,103.88,103.88,0.0
2023-10-04,103.73,103.73,103.73,103.73,0.0
2023-10-05,104.05,104.05,104.05,104.05,0.0
2023-10-06,103.63,103.63,103.63,103.63,0.0
2023-10-09,104.33,104.33,104.33,104.33,0.0
2023-10-10,104.97,104.97,104.97,104.97,0.0
2023-10-11,106.02,106.02,106.02,106.02,0.0
2023-10-12,105.21,105.21,105.21,105.21,0.0
2023-10-13,104.99,104.99,104.99,104.99,0.0
2023-10-16,105.02,105.02,105.02,105.02,0.0
2023-10-17,104.02,104.02,104.02,104.02,0.0
2023-10-18,103.16,103.16,103.16,103.16,0.0
2023-10-19,103.16,103.16,103.16,103.16,0.0
2023-10-20,103.63,103.63,103.63,103.63,0.0
2023-10-23,104.1,104.1,104.1,104.1,0.0
2023-10-24,104.49,104.49,104.49,104.49,0.0
2023-10-25,103.72,103.72,103.72,103.72,0.0
2023-10-26,100.78,104.44,100.78,104.44,1.0
2023-10-27,104.63,104.63,104.63,104.63,0.0
2023-10-30,105.19,105.19,105.19,105.19,0.0
2023-10-31,105.4,105.4,105.4,105.4,0.0
2023-11-01,106.07,106.07,106.07,106.07,0.0
2023-11-02,106.53,106.53,106.53,106.53,0.0
2023-11-03,107.38,107.38,107.38,107.38,0.0
2023-11-06,106.48,106.48,106.48,106.48,0.0
2023-11-07,107.15,107.15,107.15,107.15,0.0
2023-11-08,107.61,107.61,107.61,107.61,0.0
2023-11-09,107.45,107.45,107.45,107.45,0.0
2023-11-10,106.96,106.96,106.96,106.96,0.0
2023-11-13,107.04,107.04,107.04,107.04,0.0
2023-11-14,108.37,108.37,108.37,108.37,0.0
2023-11-15,108.19,108.19,108.19,108.19,0.0
2023-11-16,108.98,108.98,108.98,108.98,0.0
2023-11-17,108.94,108.94,108.94,108.94,0.0
2023-11-20,109.19,109.19,109.19,109.19,0.0
2023-11-21,109.36,109.36,109.36,109.36,0.0
2023-11-22,109.22,109.22,109.22,109.22,0.0
2023-11-23,108.7,108.7,108.7,108.7,0.0
2023-11-24,108.85,108.85,108.85,108.85,0.0
2023-11-27,109.27,109.27,109.27,109.27,0.0
2023-11-28,109.78,109.78,109.78,109.78,0.0
2023-11-29,110.6,110.6,110.6,110.6,0.0
2023-11-30,110.16,110.16,110.16,110.16,0.0
2023-12-01,111.21,111.21,111.21,111.21,0.0
2023-12-04,111.08,111.08,111.08,111.08,0.0
2023-12-05,112.13,112.13,112.13,112.13,0.0
2023-12-06,112.33,112.33,112.33,112.33,0.0
2023-12-07,112.63,112.63,112.63,112.63,0.0
2023-12-08,111.74,111.74,111.74,111.74,0.0
2023-12-11,111.39,111.89,111.39,111.67,2.0
2023-12-12,112.4,112.4,112.4,112.4,0.0
2023-12-13,112.87,112.87,112.87,112.87,0.0
2023-12-14,114.09,114.09,114.09,114.09,0.0
2023-12-15,114.67,114.67,114.67,114.67,0.0
2023-12-18,114.36,114.43,114.31,114.31,2.0
2023-12-19,115.05,115.34,114.9,115.34,2.0
2023-12-20,115.76,115.76,115.71,115.71,3.0
2023-12-21,115.93,115.93,115.93,115.93,0.0
2023-12-22,116.26,116.26,116.26,116.26,0.0
2023-12-27,116.53,116.68,116.53,116.66,6.0
2023-12-28,116.56,116.56,115.86,115.93,10.0
2023-12-29,115.61,115.61,114.96,114.96,6.0
2024-01-02,114.48,114.96,114.27,114.96,5.0
2024-01-03,114.31,114.81,114.31,114.81,5.0
2024-01-04,115.27,115.34,113.92,114.08,15.0
2024-01-05,113.85,114.13,113.23,113.93,21.0
2024-01-08,113.34,113.9,113.06,113.9,18.0
2024-01-09,113.62,113.62,113.36,113.62,5.0
2024-01-10,114.11,114.11,113.68,113.68,5.0
2024-01-11,114.29,114.29,113.84,113.84,9.0
2024-01-12,114.45,114.87,114.11,114.55,37.0
2024-01-15,114.35,114.35,113.88,114.21,12.0
2024-01-16,113.92,114.22,113.74,113.9,21.0
2024-01-17,113.56,113.78,113.03,113.03,22.0
2024-01-18,113.23,113.34,112.85,113.08,12.0
2024-01-19,112.97,113.68,112.97,113.43,18.0
2024-01-22,113.73,113.92,113.65,113.69,8.0
2024-01-23,113.31,113.31,112.99,113.07,7.0
2024-01-24,113.33,113.76,113.14,113.14,81.0
2024-01-25,113.03,113.86,112.96,113.85,15.0
2024-01-26,114.12,114.31,113.68,113.78,14.0
2024-01-29,114.05,114.55,114.04,114.51,11.0
2024-01-30,114.86,114.9,113.88,113.92,12.0
2024-01-31,114.31,114.77,114.21,114.66,22.0
2024-02-01,114.31,114.8,114.07,114.8,12.0
2024-02-02,114.5,114.5,113.87,113.9,13.0
2024-02-05,113.79,113.79,113.14,113.14,13.0
2024-02-06,113.45,113.63,113.15,113.53,4.0
2024-02-07,113.52,113.52,113.3,113.43,2.0
2024-02-08,113.15,113.18,112.84,112.9,10.0
2024-02-09,112.82,113.12,112.6,112.65,34.0
2024-02-12,112.86,113.25,112.86,113.05,18.0
2024-02-13,113.0,113.54,112.58,112.8,22.0
2024-02-14,112.97,113.5,112.97,113.44,19.0
2024-02-15,113.78,114.05,113.55,113.68,37.0
2024-02-16,113.48,113.48,113.13,113.33,10.0
2024-02-19,113.49,113.49,113.19,113.19,4.0
2024-02-20,113.34,113.61,113.22,113.55,15.0
2024-02-21,113.36,113.59,112.65,112.86,208.0
2024-02-22,112.72,113.26,112.33,113.07,205.0
2024-02-23,112.99,114.02,112.67,113.85,247.0
2024-02-26,114.22,114.23,113.18,113.33,668.0
2024-02-27,113.15,113.49,113.07,113.22,1825.0
2024-02-28,113.26,113.42,113.03,113.25,4162.0
2024-02-29,113.38,113.76,112.69,113.61,8689.0
2024-03-01,113.51,113.56,112.79,113.42,29723.0
2024-03-04,113.26,113.91,113.04,113.72,57257.0
2024-03-05,113.97,114.99,113.89,114.72,129230.0
2024-03-06,114.63,115.39,114.56,115.09,241598.0
2024-03-07,115.05,116.1,114.78,115.53,277266.0
2024-03-08,115.65,116.05,115.4,115.88,202333.0
2024-03-11,115.91,116.08,115.18,115.42,188726.0
2024-03-12,115.4,115.97,115.34,115.63,183522.0
2024-03-13,115.74,115.99,115.33,115.82,243316.0
2024-03-14,115.55,116.32,114.51,114.97,283941.0
2024-03-15,114.59,115.11,114.44,114.65,208895.0
2024-03-18,115.05,115.06,114.61,114.87,181030.0
2024-03-19,114.9,115.01,114.56,114.8,226424.0
2024-03-20,114.91,115.12,114.5,114.69,200231.0
2024-03-21,114.76,115.32,114.74,114.99,228823.0
2024-03-22,115.2,115.44,114.85,115.32,220257.0
2024-03-25,115.31,115.38,114.69,114.85,178145.0
2024-03-26,114.89,115.41,114.85,115.17,195938.0
2024-03-27,115.39,115.62,115.2,115.54,231379.0
2024-03-28,115.45,115.46,114.72,115.09,248867.0
2024-04-02,114.45,114.77,113.69,113.97,257610.0
2024-04-03,113.97,114.17,113.25,113.62,288679.0
2024-04-04,113.92,114.8,113.84,114.68,261114.0
2024-04-05,114.8,114.84,113.91,113.99,205009.0
2024-04-08,113.63,114.07,113.6,113.92,164025.0
2024-04-09,114.07,114.75,114.0,114.61,192860.0
2024-04-10,114.71,115.18,113.88,114.21,268782.0
2024-04-11,113.96,114.18,113.27,113.31,307864.0
2024-04-12,113.63,114.83,113.58,114.44,236288.0
2024-04-15,114.21,114.44,113.45,113.64,215249.0
2024-04-16,113.69,113.73,112.77,113.02,265710.0
2024-04-17,112.9,113.61,112.74,113.29,222903.0
2024-04-18,113.59,113.82,113.0,113.23,175910.0
2024-04-19,113.58,113.74,112.91,113.05,160103.0
2024-04-22,112.95,113.88,112.87,113.71,211167.0
2024-04-23,113.94,114.07,113.35,113.85,235135.0
2024-04-24,113.54,113.56,112.51,112.7,249684.0
2024-04-25,112.55,112.97,111.95,112.43,226943.0
2024-04-26,112.47,113.38,112.47,113.19,190771.0
2024-04-29,113.29,113.87,113.24,113.83,204389.0
2024-04-30,113.92,113.92,113.08,113.14,220158.0
2024-05-02,113.51,113.93,113.29,113.53,197946.0
2024-05-03,113.88,114.64,113.53,113.89,212011.0
2024-05-06,114.31,114.71,114.12,114.14,131418.0
2024-05-07,114.56,114.63,114.12,114.52,218730.0
2024-05-08,114.25,114.44,114.03,114.21,155076.0
2024-05-09,114.06,114.14,113.62,113.87,187439.0
2024-05-10,114.09,114.33,113.61,113.72,180452.0
2024-05-13,113.76,114.0,113.62,113.73,134948.0
2024-05-14,113.64,113.89,113.09,113.42,235841.0
2024-05-15,113.67,114.95,113.65,114.75,233494.0
2024-05-16,115.07,115.09,114.49,114.7,182003.0
2024-05-17,114.48,114.53,113.96,114.15,157154.0
2024-05-20,113.89,114.2,113.81,113.98,111415.0
2024-05-21,114.07,114.32,113.9,114.17,156892.0
2024-05-22,113.9,114.07,113.58,113.95,224069.0
2024-05-23,113.91,114.25,113.23,113.27,274847.0
2024-05-24,113.37,113.57,113.08,113.45,184486.0
2024-05-27,113.56,113.99,113.26,113.86,113403.0
2024-05-28,113.83,113.9,113.25,113.37,244915.0
2024-05-29,112.92,113.28,112.26,112.53,291659.0
2024-05-30,112.51,112.87,112.37,112.74,238401.0
2024-05-31,112.73,113.0,112.38,112.78,252710.0
2024-06-03,112.71,113.62,112.71,113.34,185977.0
2024-06-04,113.31,113.95,113.21,113.55,110343.0
2024-06-05,113.42,114.14,113.39,114.05,209377.0
2024-06-06,114.05,114.11,113.27,113.55,250582.0
2024-06-07,113.49,113.58,112.56,112.78,249721.0
2024-06-10,112.45,112.46,111.65,111.77,383261.0
2024-06-11,111.85,112.03,110.97,111.81,430900.0
2024-06-12,112.08,113.24,111.87,113.0,336547.0
2024-06-13,112.77,113.19,112.47,112.64,366969.0
2024-06-14,112.75,113.23,112.63,113.13,411365.0
2024-06-17,112.86,113.44,112.76,112.9,237912.0
2024-06-18,112.92,113.55,112.84,113.33,228305.0
2024-06-19,113.21,113.42,112.78,112.9,189031.0
2024-06-20,112.77,113.07,112.49,112.89,230739.0
2024-06-21,112.94,113.63,112.86,112.96,244190.0
2024-06-24,113.13,113.31,113.0,113.08,185190.0
2024-06-25,113.29,113.37,112.81,113.03,217598.0
2024-06-26,113.0,113.13,112.47,112.51,214528.0
2024-06-27,112.35,112.5,112.05,112.2,304825.0
2024-06-28,112.11,112.43,111.71,111.88,297872.0
2024-07-01,112.07,112.25,111.57,111.66,242539.0
2024-07-02,111.69,112.15,111.33,111.92,285618.0
2024-07-03,112.06,112.74,112.03,112.68,242151.0
2024-07-04,112.45,112.54,112.34,112.44,140532.0
2024-07-05,112.53,113.14,112.53,113.06,202126.0
2024-07-08,112.75,113.5,112.64,113.46,210070.0
2024-07-09,113.33,113.37,112.81,112.88,203195.0
2024-07-10,113.14,113.81,113.14,113.62,242052.0
2024-07-11,113.58,114.5,113.49,114.34,283710.0
2024-07-12,114.02,114.43,113.92,114.24,193670.0
2024-07-15,114.0,114.67,113.92,114.63,190403.0
2024-07-16,114.81,115.02,114.68,114.91,195280.0
2024-07-17,115.03,115.22,114.66,114.81,249016.0
2024-07-18,114.93,115.14,114.66,115.0,191554.0
2024-07-19,114.74,114.87,114.31,114.47,157017.0
2024-07-22,114.44,114.75,114.29,114.55,151221.0
2024-07-23,114.38,114.7,114.24,114.48,202573.0
2024-07-24,114.54,114.59,114.13,114.22,231908.0
2024-07-25,114.05,114.72,114.05,114.42,298771.0
2024-07-26,114.26,114.66,113.89,114.58,222394.0
2024-07-29,114.66,115.23,114.58,115.0,204173.0
2024-07-30,115.07,115.27,114.89,115.06,247413.0
2024-07-31,115.13,115.55,115.1,115.44,242059.0
2024-08-01,115.76,115.77,115.24,115.62,268622.0
2024-08-02,115.82,116.03,115.26,115.62,306690.0
2024-08-05,115.96,115.96,115.21,115.43,347377.0
2024-08-06,115.43,115.75,115.1,115.5,288746.0
2024-08-07,115.53,115.56,114.84,115.02,247843.0
2024-08-08,115.16,115.34,114.97,115.03,186620.0
2024-08-09,115.3,115.64,115.23,115.56,160484.0
2024-08-12,115.59,115.61,115.32,115.53,121697.0
2024-08-13,115.48,116.21,115.48,116.2,174104.0
2024-08-14,116.21,116.36,115.83,116.18,157895.0
2024-08-15,116.09,116.32,115.55,115.62,132951.0
2024-08-16,115.74,115.95,115.52,115.61,161521.0
2024-08-19,115.75,116.04,115.54,115.66,141827.0
2024-08-20,115.65,116.01,115.64,115.99,179997.0
2024-08-21,116.08,116.32,115.86,116.21,187919.0
2024-08-22,116.28,116.51,115.68,115.78,217473.0
2024-08-23,115.73,116.29,115.73,116.22,167278.0
2024-08-26,116.37,116.37,115.75,115.99,178666.0
2024-08-27,115.81,115.84,115.2,115.36,241953.0
2024-08-28,115.44,115.89,115.44,115.52,223339.0
2024-08-29,115.42,115.96,115.35,115.4,329700.0
2024-08-30,115.37,115.67,114.96,115.35,272778.0
2024-09-02,114.95,115.14,114.74,115.07,217901.0
2024-09-03,115.08,115.58,114.89,115.43,280717.0
2024-09-04,115.65,116.29,115.45,116.21,163680.0
2024-09-05,116.36,116.51,115.97,116.23,286112.0
