date,open,high,low,close,volume
2021-04-05,87.66,87.66,87.66,87.66,0.0
2021-04-06,88.68,88.68,88.68,88.68,0.0
2021-04-07,89.14,89.14,89.14,89.14,0.0
2021-04-08,89.96,89.96,89.96,89.96,0.0
2021-04-09,90.93,90.93,90.93,90.93,0.0
2021-04-12,90.13,90.13,90.13,90.13,0.0
2021-04-13,90.26,90.26,90.26,90.26,0.0
2021-04-14,90.27,90.27,90.27,90.27,0.0
2021-04-15,90.84,90.84,90.84,90.84,0.0
2021-04-16,90.71,90.71,90.71,90.71,0.0
2021-04-19,90.68,90.68,90.68,90.68,0.0
2021-04-20,91.03,91.03,91.03,91.03,0.0
2021-04-21,91.67,91.67,91.67,91.67,0.0
2021-04-22,92.32,92.32,92.32,92.32,0.0
2021-04-23,92.52,92.52,92.52,92.52,0.0
2021-04-26,92.73,92.73,92.73,92.73,0.0
2021-04-27,92.74,92.74,92.74,92.74,0.0
2021-04-28,91.81,91.81,91.81,91.81,0.0
2021-04-29,90.96,90.96,90.96,90.96,0.0
2021-04-30,91.71,91.71,91.71,91.71,0.0
2021-05-03,92.14,92.14,92.14,92.14,0.0
2021-05-04,91.7,91.7,91.7,91.7,0.0
2021-05-05,92.0,92.0,92.0,92.0,0.0
2021-05-06,92.1,92.1,92.1,92.1,0.0
2021-05-07,92.07,92.07,92.07,92.07,0.0
2021-05-10,92.24,92.24,92.24,92.24,0.0
2021-05-11,92.17,92.17,92.17,92.17,0.0
2021-05-12,91.96,91.96,91.96,91.96,0.0
2021-05-13,91.46,91.46,91.46,91.46,0.0
2021-05-14,89.61,89.61,89.61,89.61,0.0
2021-05-17,89.77,89.77,89.77,89.77,0.0
2021-05-18,88.63,88.63,88.63,88.63,0.0
2021-05-19,88.39,88.39,88.39,88.39,0.0
2021-05-20,88.34,88.34,88.34,88.34,0.0
2021-05-21,88.84,88.84,88.84,88.84,0.0
2021-05-24,89.03,89.03,89.03,89.03,0.0
2021-05-25,88.74,88.74,88.74,88.74,0.0
2021-05-26,88.88,88.88,88.88,88.88,0.0
2021-05-27,89.0,89.0,89.0,89.0,0.0
2021-05-28,89.12,89.12,89.12,89.12,0.0
2021-06-01,89.5,89.5,89.5,89.5,0.0
2021-06-02,90.09,90.09,90.09,90.09,0.0
2021-06-03,90.51,90.51,90.51,90.51,0.0
2021-06-04,90.77,90.77,90.77,90.77,0.0
2021-06-07,91.66,91.66,91.66,91.66,0.0
2021-06-08,92.04,92.04,92.04,92.04,0.0
2021-06-09,92.88,92.88,92.88,92.88,0.0
2021-06-10,92.41,92.41,92.41,92.41,0.0
2021-06-11,92.4,92.4,92.4,92.4,0.0
2021-06-14,91.32,91.32,91.32,91.32,0.0
2021-06-15,91.9,91.9,91.9,91.9,0.0
2021-06-16,90.98,90.98,90.98,90.98,0.0
2021-06-17,89.74,89.74,89.74,89.74,0.0
2021-06-18,90.89,90.89,90.89,90.89,0.0
2021-06-21,90.78,90.78,90.78,90.78,0.0
2021-06-22,90.7,90.7,90.7,90.7,0.0
2021-06-23,91.25,91.25,91.25,91.25,0.0
2021-06-24,91.69,91.69,91.69,91.69,0.0
2021-06-25,91.69,91.69,91.69,91.69,0.0
2021-06-28,91.94,91.94,91.94,91.94,0.0
2021-06-29,92.07,92.07,92.07,92.07,0.0
2021-06-30,90.03,90.03,90.03,90.03,0.0
2021-07-01,91.28,91.28,91.28,91.28,0.0
2021-07-02,91.71,91.71,91.71,91.71,0.0
2021-07-06,90.93,90.93,90.93,90.93,0.0
2021-07-07,90.95,90.95,90.95,90.95,0.0
2021-07-08,90.37,90.37,90.37,90.37,0.0
2021-07-09,91.15,91.15,91.15,91.15,0.0
2021-07-12,91.4,91.4,91.4,91.4,0.0
2021-07-13,91.48,91.48,91.48,91.48,0.0
