date,open,high,low,close,volume
2022-07-25,14504.0,14504.0,14504.0,14504.0,0.0
2022-07-26,14398.0,14398.0,14398.0,14398.0,0.0
2022-07-27,14468.0,14468.0,14468.0,14468.0,0.0
2022-07-28,14549.0,14549.0,14549.0,14549.0,0.0
2022-07-29,14761.0,14761.0,14761.0,14761.0,0.0
2022-08-01,14784.0,14784.0,14784.0,14784.0,0.0
2022-08-02,14733.0,14733.0,14733.0,14733.0,0.0
2022-08-03,14896.0,14896.0,14896.0,14896.0,0.0
2022-08-04,14967.0,14967.0,14967.0,14967.0,0.0
2022-08-05,14900.0,14900.0,14900.0,14900.0,0.0
2022-08-08,15036.0,15036.0,15036.0,15036.0,0.0
2022-08-09,14887.0,14887.0,14887.0,14887.0,0.0
2022-08-10,15067.0,15067.0,15067.0,15067.0,0.0
2022-08-11,15040.0,15040.0,15040.0,15040.0,0.0
2022-08-12,15175.0,15175.0,15175.0,15175.0,0.0
2022-08-15,15169.0,15169.0,15169.0,15169.0,0.0
2022-08-16,15297.0,15297.0,15297.0,15297.0,0.0
2022-08-17,15010.0,15010.0,15010.0,15010.0,0.0
2022-08-18,15101.0,15101.0,15101.0,15101.0,0.0
2022-08-19,14940.0,14940.0,14940.0,14940.0,0.0
2022-08-22,14626.0,14626.0,14626.0,14626.0,0.0
2022-08-23,14574.0,14574.0,14574.0,14574.0,0.0
2022-08-24,14636.0,14636.0,14636.0,14636.0,0.0
2022-08-25,14665.0,14665.0,14665.0,14665.0,0.0
2022-08-26,14367.0,14367.0,14367.0,14367.0,0.0
2022-08-29,14320.0,14320.0,14320.0,14320.0,0.0
2022-08-30,14387.0,14387.0,14387.0,14387.0,0.0
2022-08-31,14289.0,14289.0,14289.0,14289.0,0.0
2022-09-01,14037.0,14037.0,14037.0,14037.0,0.0
2022-09-02,14493.0,14493.0,14493.0,14493.0,0.0
2022-09-05,14190.0,14190.0,14190.0,14190.0,0.0
2022-09-06,14293.0,14293.0,14293.0,14293.0,0.0
2022-09-07,14374.0,14374.0,14374.0,14374.0,0.0
2022-09-08,14352.0,14352.0,14352.0,14352.0,0.0
2022-09-09,14561.0,14561.0,14561.0,14561.0,0.0
2022-09-12,14924.0,14924.0,14924.0,14924.0,0.0
2022-09-13,14714.0,14714.0,14714.0,14714.0,0.0
2022-09-14,14546.0,14546.0,14546.0,14546.0,0.0
2022-09-15,14481.0,14481.0,14481.0,14481.0,0.0
