date,open,high,low,close,volume
2023-03-15,99.51,99.51,99.51,99.51,0.0
2023-03-16,100.465,100.465,100.465,100.465,0.0
2023-03-17,99.75,99.75,99.75,99.75,0.0
2023-03-20,99.33,99.33,99.33,99.33,0.0
2023-03-21,99.3,99.3,99.3,99.3,0.0
2023-03-22,98.4,98.4,98.4,98.4,0.0
2023-03-23,98.59,98.59,98.59,98.59,0.0
2023-03-24,99.21,99.21,99.21,99.21,0.0
2023-03-27,98.95,98.95,98.95,98.95,0.0
2023-03-28,98.63,98.63,98.63,98.63,0.0
2023-03-29,98.815,98.815,98.815,98.815,0.0
2023-03-30,98.355,98.355,98.355,98.355,0.0
2023-03-31,98.71,98.71,98.71,98.71,0.0
2023-04-03,98.315,98.315,98.315,98.315,0.0
2023-04-04,97.81,97.81,97.81,97.81,0.0
2023-04-05,98.08,98.08,98.08,98.08,0.0
2023-04-06,98.075,98.075,98.075,98.075,0.0
2023-04-07,98.075,98.075,98.075,98.075,0.0
2023-04-10,98.755,98.755,98.755,98.755,0.0
2023-04-11,98.4,98.4,98.4,98.4,0.0
2023-04-12,97.71,97.71,97.71,97.71,0.0
2023-04-13,97.25,97.25,97.25,97.25,0.0
2023-04-14,97.76,97.76,97.76,97.76,0.0
2023-04-17,98.285,98.285,98.285,98.285,0.0
2023-04-18,97.95,97.95,97.95,97.95,0.0
2023-04-19,98.16,98.16,98.16,98.16,0.0
2023-04-20,98.065,98.065,98.065,98.065,0.0
2023-04-21,98.04,98.04,98.04,98.04,0.0
2023-04-24,97.555,97.555,97.555,97.555,0.0
2023-04-25,98.06,98.06,98.06,98.06,0.0
2023-04-26,97.67,97.67,97.67,97.67,0.0
2023-04-27,97.72,97.72,97.72,97.72,0.0
2023-04-28,97.845,97.845,97.845,97.845,0.0
2023-05-01,98.335,98.335,98.335,98.335,0.0
2023-05-02,98.145,98.145,98.145,98.145,0.0
2023-05-03,97.555,97.555,97.555,97.555,0.0
2023-05-04,97.64,97.64,97.64,97.64,0.0
2023-05-05,97.455,97.455,97.455,97.455,0.0
2023-05-08,97.605,97.605,97.605,97.605,0.0
2023-05-09,97.85,97.85,97.85,97.85,0.0
2023-05-10,97.715,97.715,97.715,97.715,0.0
2023-05-11,98.275,98.275,98.275,98.275,0.0
2023-05-12,98.895,98.895,98.895,98.895,0.0
2023-05-15,98.68,98.68,98.68,98.68,0.0
2023-05-16,98.795,98.795,98.795,98.795,0.0
2023-05-17,99.095,99.095,99.095,99.095,0.0
2023-05-18,99.735,99.735,99.735,99.735,0.0
2023-05-19,99.355,99.355,99.355,99.355,0.0
2023-05-22,99.345,99.345,99.345,99.345,0.0
2023-05-23,99.615,99.615,99.615,99.615,0.0
2023-05-24,99.575,100.005,99.575,100.005,1.0
2023-05-25,100.36,100.36,100.36,100.36,0.0
2023-05-26,100.275,100.275,100.275,100.275,0.0
2023-05-29,100.275,100.275,100.275,100.275,0.0
2023-05-30,100.195,100.195,100.195,100.195,0.0
2023-05-31,100.295,100.295,100.295,100.295,0.0
2023-06-01,99.6,99.6,99.6,99.6,0.0
2023-06-02,99.995,99.995,99.995,99.995,0.0
2023-06-05,100.0,100.0,100.0,100.0,0.0
2023-06-06,100.125,100.125,100.125,100.125,0.0
2023-06-07,100.1,100.1,100.1,100.1,0.0
2023-06-08,99.37,99.37,99.37,99.37,0.0
2023-06-09,99.59,99.59,99.59,99.59,0.0
2023-06-12,99.66,99.66,99.66,99.66,0.0
2023-06-13,99.36,99.36,99.36,99.36,0.0
2023-06-14,98.97,98.97,98.97,98.97,0.0
2023-06-15,98.18,98.18,98.18,98.18,0.0
2023-06-16,98.3,98.3,98.3,98.3,0.0
2023-06-19,98.3,98.3,98.3,98.3,0.0
2023-06-20,98.57,98.57,98.57,98.57,0.0
2023-06-21,98.12,98.12,98.12,98.12,0.0
2023-06-22,97.96,98.435,97.96,98.435,1.0
2023-06-23,98.965,98.965,98.965,98.965,0.0
2023-06-26,98.765,98.765,98.765,98.765,0.0
2023-06-27,98.57,98.57,98.57,98.57,0.0
2023-06-28,98.975,98.975,98.975,98.975,0.0
2023-06-29,99.235,99.41,99.235,99.41,2.0
2023-06-30,98.995,98.995,98.995,98.995,0.0
2023-07-03,99.065,99.065,99.065,99.065,0.0
2023-07-04,99.065,99.065,99.065,99.065,0.0
2023-07-05,99.435,99.435,99.435,99.435,0.0
2023-07-06,99.275,99.275,99.275,99.275,0.0
2023-07-07,98.545,98.545,98.38,98.38,1.0
