date,open,high,low,close,volume
2023-09-11,129.43,129.43,129.43,129.43,0.0
2023-09-12,129.42,129.42,129.42,129.42,0.0
2023-09-13,129.21,129.21,129.21,129.21,0.0
2023-09-14,129.82,129.82,129.82,129.82,0.0
2023-09-15,129.38,129.38,129.38,129.38,0.0
2023-09-18,128.73,128.73,128.73,128.73,0.0
2023-09-19,128.31,128.31,128.31,128.31,0.0
2023-09-20,128.52,128.52,128.52,128.52,0.0
2023-09-21,128.29,128.29,128.29,128.29,0.0
2023-09-22,128.39,128.39,128.39,128.39,0.0
2023-09-25,127.79,127.79,127.79,127.79,0.0
2023-09-26,127.85,127.85,127.85,127.85,0.0
2023-09-27,127.58,127.58,127.58,127.58,0.0
2023-09-28,125.94,125.94,125.94,125.94,0.0
2023-09-29,127.39,127.39,127.39,127.39,0.0
2023-10-02,126.64,126.64,126.64,126.64,0.0
2023-10-03,126.11,126.11,126.11,126.11,0.0
2023-10-04,126.18,126.18,126.18,126.18,0.0
2023-10-05,126.85,126.85,126.85,126.85,0.0
2023-10-06,126.75,126.75,126.75,126.75,0.0
2023-10-09,128.04,128.04,128.04,128.04,0.0
2023-10-10,127.88,127.88,127.88,127.88,0.0
2023-10-11,128.72,128.72,128.72,128.72,0.0
2023-10-12,128.01,128.01,128.01,128.01,0.0
2023-10-13,128.34,128.34,128.34,128.34,0.0
2023-10-16,127.93,127.93,127.93,127.93,0.0
2023-10-17,127.07,127.07,127.07,127.07,0.0
2023-10-18,126.46,126.46,126.46,126.46,0.0
2023-10-19,126.35,126.35,126.35,126.35,0.0
2023-10-20,126.67,126.67,126.67,126.67,0.0
2023-10-23,126.83,126.83,126.83,126.83,0.0
2023-10-24,127.39,127.39,127.39,127.39,0.0
2023-10-25,126.79,126.79,126.79,126.79,0.0
2023-10-26,128.18,128.18,127.35,127.35,1.0
2023-10-27,127.32,127.32,127.32,127.32,0.0
2023-10-30,127.61,127.61,127.61,127.61,0.0
2023-10-31,127.76,127.97,127.76,127.97,1.0
2023-11-01,128.31,128.31,128.31,128.31,0.0
2023-11-02,128.68,128.68,128.68,128.68,0.0
2023-11-03,129.31,129.31,129.31,129.31,0.0
2023-11-06,128.51,128.51,128.51,128.51,0.0
2023-11-07,129.17,129.17,129.17,129.17,0.0
2023-11-08,129.45,129.45,129.45,129.45,0.0
2023-11-09,129.22,129.22,129.22,129.22,0.0
2023-11-10,128.68,128.68,128.68,128.68,0.0
2023-11-13,128.5,128.5,128.5,128.5,0.0
2023-11-14,129.67,129.67,129.67,129.67,0.0
2023-11-15,129.42,129.42,129.42,129.42,0.0
2023-11-16,130.02,130.02,130.02,130.02,0.0
2023-11-17,129.96,129.96,129.96,129.96,0.0
2023-11-20,129.72,129.72,129.72,129.72,0.0
2023-11-21,130.08,130.08,130.08,130.08,0.0
2023-11-22,130.11,130.11,130.11,130.11,0.0
2023-11-23,129.38,129.38,129.38,129.38,0.0
2023-11-24,129.19,129.19,129.19,129.19,0.0
2023-11-27,130.11,130.11,130.11,130.11,0.0
2023-11-28,130.69,130.69,130.69,130.69,0.0
2023-11-29,132.0,132.0,131.48,131.48,1.0
2023-11-30,131.21,131.21,131.21,131.21,0.0
2023-12-01,132.53,132.53,132.23,132.23,1.0
2023-12-04,132.24,132.31,131.96,132.31,102.0
2023-12-05,133.0,133.43,133.0,133.39,7.0
2023-12-06,133.69,133.69,133.69,133.69,0.0
2023-12-07,134.6,134.6,133.69,133.81,4.0
2023-12-08,133.03,133.03,133.03,133.03,0.0
2023-12-11,133.15,133.15,133.07,133.07,2.0
2023-12-12,133.6,133.64,133.5,133.5,9.0
2023-12-13,133.7,134.92,133.7,134.1,6.0
2023-12-14,135.11,135.29,134.66,134.66,5.0
2023-12-15,135.2,135.79,135.2,135.79,11.0
2023-12-18,135.57,135.89,135.17,135.22,38.0
2023-12-19,135.29,135.85,135.29,135.85,3.0
2023-12-20,136.03,136.51,136.03,136.28,6.0
2023-12-21,136.38,136.54,136.27,136.39,37.0
2023-12-22,136.08,136.5,136.05,136.35,22.0
2023-12-27,136.3,137.23,136.3,137.08,44.0
2023-12-28,137.07,137.09,136.54,136.73,8.0
2023-12-29,136.54,136.57,135.67,135.67,9.0
2024-01-02,135.41,135.41,134.75,135.34,20.0
2024-01-03,135.0,135.75,135.0,135.65,116.0
2024-01-04,135.75,135.75,134.42,134.78,208.0
2024-01-05,134.43,134.5,133.92,134.5,7.0
2024-01-08,134.27,134.55,133.8,134.52,11.0
2024-01-09,133.83,134.02,133.77,133.94,10.0
2024-01-10,134.06,134.09,133.39,133.64,15.0
2024-01-11,133.65,134.02,133.48,133.63,31.0
2024-01-12,134.18,134.39,133.91,134.16,18.0
2024-01-15,134.05,134.05,133.57,133.76,15.0
2024-01-16,133.77,133.83,133.13,133.47,8.0
2024-01-17,132.93,133.33,132.74,132.76,877.0
2024-01-18,132.75,132.93,132.32,132.5,36.0
