date,open,high,low,close,volume
2022-06-01,2156.7,2156.7,2156.7,2156.7,0.0
2022-06-02,2182.2,2182.2,2182.2,2182.2,0.0
2022-06-03,2159.1,2159.1,2159.1,2159.1,0.0
2022-06-06,2153.0,2153.0,2153.0,2153.0,0.0
2022-06-07,2163.4,2163.4,2163.4,2163.4,0.0
2022-06-08,2168.0,2168.0,2168.0,2168.0,0.0
2022-06-09,2165.4,2165.4,2165.4,2165.4,0.0
2022-06-10,2197.1,2197.1,2197.1,2197.1,0.0
2022-06-13,2151.6,2151.6,2151.6,2151.6,0.0
2022-06-14,2133.8,2133.8,2133.8,2133.8,0.0
2022-06-15,2140.5,2140.5,2140.5,2140.5,0.0
2022-06-16,2176.8,2176.8,2176.8,2176.8,0.0
2022-06-17,2167.3,2167.3,2167.3,2167.3,0.0
2022-06-21,2165.3,2165.3,2165.3,2165.3,0.0
2022-06-22,2162.7,2162.7,2162.7,2162.7,0.0
2022-06-23,2152.2,2152.2,2152.2,2152.2,0.0
2022-06-24,2152.3,2152.3,2152.3,2152.3,0.0
2022-06-27,2147.4,2147.4,2147.4,2147.4,0.0
2022-06-28,2144.5,2144.5,2144.5,2144.5,0.0
2022-06-29,2139.5,2139.5,2139.5,2139.5,0.0
2022-06-30,2126.8,2126.8,2126.8,2126.8,0.0
2022-07-01,2117.7,2117.7,2117.7,2117.7,0.0
2022-07-05,2071.3,2071.3,2071.3,2071.3,0.0
2022-07-06,2039.9,2039.9,2039.9,2039.9,0.0
2022-07-07,2044.0,2044.0,2044.0,2044.0,0.0
2022-07-08,2048.3,2048.3,2048.3,2048.3,0.0
2022-07-11,2037.4,2037.4,2037.4,2037.4,0.0
2022-07-12,2029.5,2029.5,2029.5,2029.5,0.0
2022-07-13,2042.3,2042.3,2042.3,2042.3,0.0
2022-07-14,2010.0,2010.0,2010.0,2010.0,0.0
2022-07-15,2005.5,2005.5,2005.5,2005.5,0.0
2022-07-18,2017.9,2017.9,2017.9,2017.9,0.0
2022-07-19,2016.8,2016.8,2016.8,2016.8,0.0
2022-07-20,2004.5,2004.5,2004.5,2004.5,0.0
2022-07-21,2019.1,2019.1,2019.1,2019.1,0.0
2022-07-22,2033.7,2033.7,2033.7,2033.7,0.0
2022-07-25,2024.7,2024.7,2024.7,2024.7,0.0
2022-07-26,2022.1,2022.1,2022.1,2022.1,0.0
2022-07-27,2023.8,2023.8,2023.8,2023.8,0.0
2022-07-28,2058.0,2058.0,2058.0,2058.0,0.0
2022-07-29,2072.6,2072.6,2072.6,2072.6,0.0
2022-08-01,2080.2,2080.2,2080.2,2080.2,0.0
2022-08-02,2084.6,2084.6,2084.6,2084.6,0.0
2022-08-03,2072.6,2072.6,2072.6,2072.6,0.0
2022-08-04,2106.0,2106.0,2106.0,2106.0,0.0
2022-08-05,2091.2,2091.2,2091.2,2091.2,0.0
2022-08-08,2108.2,2108.2,2108.2,2108.2,0.0
2022-08-09,2116.7,2116.7,2116.7,2116.7,0.0
2022-08-10,2116.9,2116.9,2116.9,2116.9,0.0
2022-08-11,2110.2,2110.2,2110.2,2110.2,0.0
2022-08-12,2119.6,2119.6,2119.6,2119.6,0.0
2022-08-15,2100.3,2100.3,2100.3,2100.3,0.0
2022-08-16,2090.6,2090.6,2090.6,2090.6,0.0
2022-08-17,2076.4,2076.4,2076.4,2076.4,0.0
2022-08-18,2070.8,2070.8,2070.8,2070.8,0.0
2022-08-19,2061.8,2061.8,2061.8,2061.8,0.0
2022-08-22,2045.5,2045.5,2045.5,2045.5,0.0
2022-08-23,2060.8,2060.8,2060.8,2060.8,0.0
2022-08-24,2062.0,2062.0,2062.0,2062.0,0.0
2022-08-25,2073.7,2073.7,2073.7,2073.7,0.0
2022-08-26,2049.6,2049.6,2049.6,2049.6,0.0
2022-08-29,2050.0,2050.0,2050.0,2050.0,0.0
2022-08-30,2034.5,2034.5,2034.5,2034.5,0.0
2022-08-31,2023.2,2023.2,2023.2,2023.2,0.0
2022-09-01,2004.1,2004.1,2004.1,2004.1,0.0
2022-09-02,2019.1,2019.1,2019.1,2019.1,0.0
2022-09-06,2008.8,2008.8,2008.8,2008.8,0.0
2022-09-07,2025.3,2025.3,2025.3,2025.3,0.0
2022-09-08,2016.7,2016.7,2016.7,2016.7,0.0
2022-09-09,2026.8,2026.8,2026.8,2026.8,0.0
2022-09-12,2040.6,2040.6,2040.6,2040.6,0.0
2022-09-13,2017.4,2017.4,2017.4,2017.4,0.0
2022-09-14,2011.5,2011.5,2011.5,2011.5,0.0
2022-09-15,1976.9,1976.9,1976.9,1976.9,0.0
2022-09-16,1984.1,1984.1,1984.1,1984.1,0.0
2022-09-19,1978.7,1978.7,1978.7,1978.7,0.0
2022-09-20,1971.3,1971.3,1971.3,1971.3,0.0
2022-09-21,1976.8,1976.8,1976.8,1976.8,0.0
2022-09-22,1985.4,1985.4,1985.4,1985.4,0.0
2022-09-23,1958.5,1958.5,1958.5,1958.5,0.0
2022-09-26,1934.0,1934.0,1934.0,1934.0,0.0
2022-09-27,1936.5,1936.5,1936.5,1936.5,0.0
2022-09-28,1971.2,1971.2,1971.2,1971.2,0.0
2022-09-29,1969.7,1969.7,1969.7,1969.7,0.0
2022-09-30,1972.5,1972.5,1972.5,1972.5,0.0
2022-10-03,2005.4,2005.4,2005.4,2005.4,0.0
2022-10-04,2038.3,2038.3,2038.3,2038.3,0.0
2022-10-05,2028.2,2028.2,2028.2,2028.2,0.0
2022-10-06,2028.7,2028.7,2028.7,2028.7,0.0
2022-10-07,2019.2,2019.2,2019.2,2019.2,0.0
2022-10-10,1983.0,1983.0,1983.0,1983.0,0.0
2022-10-11,1994.5,1994.5,1994.5,1994.5,0.0
2022-10-12,1985.1,1985.1,1985.1,1985.1,0.0
2022-10-13,1986.2,1986.2,1986.2,1986.2,0.0
2022-10-14,1955.7,1955.7,1955.7,1955.7,0.0
2022-10-17,1971.9,1971.9,1971.9,1971.9,0.0
2022-10-18,1962.7,1962.7,1962.7,1962.7,0.0
2022-10-19,1938.7,1938.7,1938.7,1938.7,0.0
2022-10-20,1942.8,1942.8,1942.8,1942.8,0.0
2022-10-21,1965.5,1965.5,1965.5,1965.5,0.0
2022-10-24,1962.7,1962.7,1962.7,1962.7,0.0
2022-10-25,1970.3,1970.3,1970.3,1970.3,0.0
2022-10-26,1982.2,1982.2,1982.2,1982.2,0.0
2022-10-27,1978.2,1978.2,1978.2,1978.2,0.0
2022-10-28,1955.2,1955.2,1955.2,1955.2,0.0
2022-10-31,1951.3,1951.3,1951.3,1951.3,0.0
2022-11-01,1961.6,1961.6,1961.6,1961.6,0.0
2022-11-02,1966.3,1966.3,1966.3,1966.3,0.0
2022-11-03,1944.8,1944.8,1944.8,1944.8,0.0
2022-11-04,1997.2,1997.2,1997.2,1997.2,0.0
2022-11-07,2001.1,2001.1,2001.1,2001.1,0.0
2022-11-08,2045.8,2045.8,2045.8,2045.8,1.0
2022-11-09,2037.1,2037.1,2037.1,2037.1,0.0
2022-11-10,2080.9,2080.9,2080.9,2080.9,0.0
2022-11-11,2099.3,2099.3,2099.3,2099.3,0.0
2022-11-14,2108.9,2108.9,2108.9,2108.9,0.0
2022-11-15,2110.5,2110.5,2110.5,2110.5,0.0
2022-11-16,2109.5,2109.5,2109.5,2109.5,0.0
2022-11-17,2094.9,2094.9,2094.9,2094.9,0.0
2022-11-18,2086.3,2086.3,2086.3,2086.3,0.0
2022-11-21,2070.5,2070.5,2070.5,2070.5,0.0
2022-11-22,2071.5,2071.5,2071.5,2071.5,0.0
2022-11-23,2081.6,2081.6,2081.6,2081.6,0.0
2022-11-25,2088.0,2088.0,2088.0,2088.0,0.0
2022-11-28,2075.3,2075.3,2075.3,2075.3,0.0
2022-11-29,2083.6,2083.6,2083.6,2083.6,0.0
2022-11-30,2080.6,2080.6,2080.6,2080.6,0.0
2022-12-01,2140.6,2140.6,2140.6,2140.6,0.0
2022-12-05,2103.5,2103.5,2103.5,2103.5,0.0
2022-12-06,2104.4,2104.4,2104.4,2104.4,0.0
2022-12-07,2121.0,2121.0,2121.0,2121.0,0.0
2022-12-08,2124.3,2124.3,2124.3,2124.3,0.0
2022-12-09,2134.5,2134.5,2134.5,2134.5,0.0
2022-12-12,2113.9,2113.9,2113.9,2113.9,0.0
2022-12-13,2150.4,2150.4,2150.4,2150.4,0.0
2022-12-14,2142.7,2142.7,2142.7,2142.7,0.0
2022-12-15,2108.5,2108.5,2108.5,2108.5,0.0
2022-12-16,2122.3,2122.3,2122.3,2122.3,0.0
2022-12-19,2119.7,2119.7,2119.7,2119.7,0.0
2022-12-20,2150.8,2150.8,2150.8,2150.8,0.0
2022-12-21,2151.0,2151.0,2151.0,2151.0,0.0
2022-12-22,2116.8,2116.8,2116.8,2116.8,0.0
2022-12-23,2127.2,2127.2,2127.2,2127.2,0.0
2022-12-27,2149.7,2149.7,2149.7,2149.7,0.0
2022-12-28,2141.3,2141.3,2141.3,2141.3,0.0
2022-12-29,2153.3,2153.3,2153.3,2153.3,0.0
2022-12-30,2153.7,2153.7,2153.7,2153.7,0.0
2023-01-03,2176.1,2176.1,2176.1,2176.1,0.0
2023-01-04,2191.6,2191.6,2191.6,2191.6,0.0
2023-01-05,2172.1,2172.1,2172.1,2172.1,0.0
