date,open,high,low,close,volume
2023-03-31,226.275,226.275,226.275,226.275,0.0
2023-04-03,225.975,226.475,225.925,226.225,6.0
2023-04-04,226.25,226.25,226.125,226.125,1.0
2023-04-05,225.925,225.925,225.925,225.925,4.0
2023-04-06,228.45,228.75,227.95,228.7,15.0
2023-04-10,229.075,229.125,229.075,229.125,2.0
2023-04-11,229.625,231.775,229.625,231.775,25.0
2023-04-12,232.5,233.6,232.5,233.275,24.0
2023-04-13,234.7,234.75,233.2,233.2,22.0
2023-04-14,231.8,232.825,231.8,232.75,7.0
2023-04-17,232.7,233.525,232.7,233.325,3.0
2023-04-18,234.275,234.275,234.0,234.0,2.0
2023-04-19,233.825,233.975,233.725,233.975,3.0
2023-04-20,233.625,235.4,233.625,234.85,25.0
2023-04-21,235.7,235.85,235.3,235.85,22.0
2023-04-24,234.475,236.05,234.475,235.675,13.0
2023-04-25,235.675,236.35,233.775,234.025,54.0
2023-04-26,233.7,235.6,233.125,235.575,43.0
2023-04-27,236.2,237.575,236.2,237.525,33.0
2023-04-28,237.525,237.825,236.925,236.925,38.0
2023-05-01,236.925,237.3,235.375,235.65,43.0
2023-05-02,234.875,235.2,231.45,231.625,35.0
2023-05-03,229.825,231.425,229.55,229.8,58.0
2023-05-04,230.025,230.225,229.3,230.025,31.0
2023-05-05,229.725,231.05,229.15,229.825,75.0
2023-05-08,230.2,231.625,230.2,231.625,7.0
2023-05-09,232.25,235.075,232.05,235.075,35.0
2023-05-10,234.725,234.925,234.125,234.375,26.0
2023-05-11,234.8,235.95,234.625,235.275,31.0
2023-05-12,235.775,237.4,234.875,237.4,36.0
2023-05-15,237.825,238.75,237.025,238.075,40.0
2023-05-16,238.55,238.725,238.275,238.275,26.0
2023-05-17,238.125,238.6,236.55,236.8,35.0
2023-05-18,237.95,239.825,237.375,239.625,66.0
2023-05-19,239.4,240.8,238.325,240.325,31.0
2023-05-22,238.6,241.05,238.6,240.95,30.0
2023-05-23,240.5,240.8,240.15,240.625,21.0
2023-05-24,238.85,242.45,238.85,242.35,89.0
2023-05-25,242.45,243.375,241.55,242.425,34.0
2023-05-26,241.45,242.75,241.125,241.65,13.0
2023-05-30,243.05,245.525,243.05,244.725,46.0
2023-05-31,244.525,246.75,244.525,246.275,25.0
2023-06-01,245.475,250.825,244.25,250.55,42.0
2023-06-02,251.325,252.35,249.925,250.675,63.0
2023-06-05,250.45,251.5,250.45,251.325,44.0
2023-06-06,250.825,254.075,250.825,252.7,83.0
2023-06-07,252.7,254.125,248.825,249.5,121.0
2023-06-08,250.0,250.3,247.95,248.15,78.0
2023-06-09,248.15,249.875,245.85,248.0,73.0
2023-06-12,247.625,248.775,246.825,248.675,65.0
2023-06-13,248.575,250.15,247.075,249.675,69.0
2023-06-14,249.7,250.75,244.825,244.95,144.0
2023-06-15,243.675,243.75,241.625,243.575,104.0
2023-06-16,242.9,245.25,242.9,244.15,96.0
2023-06-20,244.675,245.35,242.175,242.3,53.0
2023-06-21,239.875,240.225,237.625,238.8,170.0
2023-06-22,240.45,242.325,239.5,242.125,73.0
2023-06-23,242.55,245.55,242.2,244.35,121.0
2023-06-26,243.4,245.575,242.6,245.25,36.0
2023-06-27,247.325,249.3,246.65,248.9,68.0
2023-06-28,249.875,250.225,247.975,249.825,108.0
2023-06-29,250.125,251.275,249.225,250.85,78.0
2023-06-30,250.625,254.275,249.725,254.025,123.0
2023-07-03,253.3,255.15,253.3,254.75,42.0
2023-07-05,253.75,255.65,252.075,252.1,110.0
2023-07-06,250.075,250.85,249.45,250.575,81.0
2023-07-07,250.75,252.925,250.625,252.225,91.0
2023-07-10,252.275,253.55,251.575,252.925,102.0
2023-07-11,252.95,254.475,251.975,253.9,101.0
2023-07-12,254.45,257.3,252.3,253.025,273.0
2023-07-13,251.825,251.925,248.925,249.8,283.0
2023-07-14,249.225,252.275,249.225,252.025,158.0
2023-07-17,251.225,253.775,251.225,253.175,123.0
2023-07-18,252.625,253.45,251.725,252.35,106.0
2023-07-19,250.825,252.8,249.425,252.05,213.0
2023-07-20,252.725,255.3,251.25,251.9,208.0
2023-07-21,253.925,253.925,251.9,253.125,62.0
2023-07-24,250.875,254.025,250.475,252.375,213.0
2023-07-25,253.625,254.3,251.425,252.675,192.0
2023-07-26,253.025,254.3,252.425,253.525,133.0
2023-07-27,252.65,254.3,252.375,253.45,82.0
2023-07-28,254.7,254.7,253.375,254.175,65.0
2023-07-31,254.6,255.3,252.95,253.75,58.0
2023-08-01,253.3,255.825,252.75,255.7,81.0
2023-08-02,255.275,256.675,253.7,255.05,449.0
2023-08-03,255.0,256.575,254.6,256.5,132.0
2023-08-04,255.85,258.8,255.85,258.425,140.0
2023-08-07,258.35,259.075,255.95,256.375,112.0
2023-08-08,256.325,256.425,253.55,255.5,117.0
2023-08-09,255.775,256.475,255.225,256.05,107.0
2023-08-10,256.05,257.675,255.7,257.25,107.0
2023-08-11,257.0,257.9,256.55,256.9,120.0
2023-08-14,256.725,257.3,255.825,256.1,103.0
2023-08-15,256.375,257.175,255.275,255.825,97.0
2023-08-16,255.65,256.725,255.5,255.7,49.0
2023-08-17,255.325,255.325,253.475,254.325,148.0
2023-08-18,253.65,255.525,253.325,255.5,95.0
2023-08-21,255.85,257.5,255.85,257.45,156.0
2023-08-22,257.425,257.525,255.825,256.425,114.0
2023-08-23,255.85,257.25,255.7,256.225,146.0
2023-08-24,256.125,258.35,255.825,258.175,165.0
2023-08-25,258.25,259.325,257.725,259.25,184.0
2023-08-28,259.25,262.525,258.85,261.55,231.0
2023-08-29,261.05,262.125,260.8,261.55,126.0
2023-08-30,261.275,261.375,259.925,260.425,135.0
2023-08-31,259.975,261.4,258.825,261.3,257.0
2023-09-01,261.125,261.475,259.75,260.225,400.0
2023-09-05,259.175,261.1,258.85,260.5,200.0
2023-09-06,260.425,262.85,260.35,262.25,254.0
2023-09-07,262.625,264.35,262.3,263.65,390.0
2023-09-08,263.225,264.3,263.2,264.1,264.0
2023-09-11,264.325,266.675,263.725,266.575,431.0
2023-09-12,266.525,267.425,265.325,267.175,555.0
2023-09-13,267.0,267.225,265.8,266.375,327.0
2023-09-14,266.45,270.725,266.45,270.4,454.0
2023-09-15,270.2,273.65,269.95,273.4,646.0
2023-09-18,273.375,273.5,271.45,271.55,504.0
2023-09-19,271.525,273.625,270.6,271.0,467.0
2023-09-20,271.0,272.9,270.225,272.725,332.0
2023-09-21,272.425,272.425,270.025,270.25,266.0
2023-09-22,270.4,272.05,270.2,271.875,467.0
2023-09-25,271.875,272.15,270.5,271.6,402.0
2023-09-26,271.3,271.6,265.75,266.4,1143.0
2023-09-27,266.475,267.25,263.6,264.025,1057.0
2023-09-28,263.925,267.85,263.7,266.575,914.0
2023-09-29,266.3,266.35,264.2,264.7,475.0
2023-10-02,265.0,268.2,264.85,266.175,682.0
2023-10-03,266.125,266.15,260.275,261.0,991.0
2023-10-04,261.15,262.075,258.975,260.875,885.0
2023-10-05,261.15,261.15,259.4,259.975,834.0
2023-10-06,259.825,260.85,258.15,260.6,1376.0
2023-10-09,259.1,260.525,258.475,258.775,843.0
2023-10-10,259.7,259.975,257.75,258.1,675.0
2023-10-11,258.35,259.5,256.15,259.225,1032.0
2023-10-12,259.15,261.375,259.15,260.325,944.0
2023-10-13,260.475,260.475,258.125,258.275,927.0
2023-10-16,258.425,259.5,257.05,257.35,764.0
2023-10-17,257.075,259.35,257.025,258.5,954.0
2023-10-18,258.1,258.825,256.425,256.925,1261.0
2023-10-19,256.325,256.425,251.025,251.525,2226.0
2023-10-20,252.2,252.3,248.6,248.95,1707.0
2023-10-23,247.85,247.95,241.15,241.5,2634.0
2023-10-24,241.675,244.925,239.55,240.75,3028.0
2023-10-25,241.575,243.4,241.175,242.35,1641.0
2023-10-26,242.425,242.55,240.15,240.875,1823.0
2023-10-27,241.175,242.75,239.325,241.7,2904.0
2023-10-30,241.925,243.275,241.325,242.525,1429.0
2023-10-31,242.8,243.725,241.55,242.9,1771.0
2023-11-01,243.225,244.075,242.65,243.475,2101.0
2023-11-02,243.975,247.725,243.975,247.625,2538.0
2023-11-03,247.625,247.775,245.3,245.525,1892.0
2023-11-06,245.525,245.55,242.05,242.225,2489.0
2023-11-07,242.25,242.95,235.925,236.3,3204.0
2023-11-08,236.725,238.8,233.05,238.075,3498.0
2023-11-09,238.2,238.625,229.725,230.225,3719.0
2023-11-10,230.25,232.9,229.025,231.625,2203.0
2023-11-13,231.625,234.425,230.6,233.1,1887.0
2023-11-14,232.4,236.9,231.975,234.4,2056.0
2023-11-15,234.1,236.975,233.675,236.55,1828.0
2023-11-16,236.55,236.55,232.375,233.125,2198.0
2023-11-17,232.3,235.35,231.2,234.0,1992.0
2023-11-20,235.9,237.6,233.075,235.35,2150.0
2023-11-21,234.55,236.1,233.525,234.25,1190.0
2023-11-22,234.5,234.9,232.675,233.15,1225.0
2023-11-24,232.7,232.7,225.475,225.65,3138.0
2023-11-27,226.75,227.3,218.425,219.125,6953.0
2023-11-28,220.1,227.5,219.15,226.425,4259.0
2023-11-29,226.875,228.4,225.8,227.225,2605.0
2023-11-30,227.575,227.575,222.1,225.5,3532.0
2023-12-01,225.525,226.8,219.35,220.075,3289.0
2023-12-04,219.75,220.575,214.775,216.375,4841.0
2023-12-05,216.775,221.275,216.15,220.325,2950.0
2023-12-06,220.6,222.6,213.65,214.525,4301.0
2023-12-07,215.025,217.55,213.375,213.95,3903.0
2023-12-08,214.375,219.975,214.2,218.9,4162.0
2023-12-11,218.9,221.875,216.8,221.475,3012.0
2023-12-12,220.875,223.65,219.1,222.475,4129.0
2023-12-13,222.075,223.275,220.15,220.7,3163.0
2023-12-14,221.775,224.375,221.7,223.0,3217.0
2023-12-15,223.125,225.6,221.75,225.075,3752.0
2023-12-18,225.375,229.275,225.375,227.1,4408.0
2023-12-19,227.15,228.55,225.75,226.125,4207.0
2023-12-20,226.15,228.95,225.525,228.7,3917.0
2023-12-21,228.725,229.825,226.175,226.3,3933.0
2023-12-22,226.725,228.475,225.775,227.35,3099.0
2023-12-26,224.9,228.3,224.0,227.525,3545.0
2023-12-27,227.8,230.15,227.525,228.35,4215.0
2023-12-28,228.5,228.9,225.65,226.05,4023.0
2023-12-29,227.35,227.4,225.65,226.025,3304.0
2024-01-02,226.025,230.9,225.875,229.425,5041.0
2024-01-03,229.375,230.225,228.0,230.0,4412.0
2024-01-04,230.025,230.575,228.35,228.6,3972.0
2024-01-05,228.725,231.125,226.4,227.1,6269.0
2024-01-08,227.7,230.75,227.2,228.025,6344.0
2024-01-09,228.025,229.35,226.775,227.825,4801.0
2024-01-10,227.575,229.9,227.55,229.1,4602.0
2024-01-11,229.5,230.9,227.8,230.375,4962.0
2024-01-12,230.175,232.6,228.625,230.675,5657.0
2024-01-16,230.65,232.75,229.85,231.825,6476.0
2024-01-17,231.725,232.975,230.725,232.775,4017.0
2024-01-18,232.7,236.5,232.475,235.6,6785.0
2024-01-19,235.825,236.4,234.55,235.0,4580.0
2024-01-22,235.15,235.275,231.75,234.3,6302.0
2024-01-23,234.475,237.275,234.1,236.725,5504.0
2024-01-24,236.825,238.5,236.325,236.85,5626.0
2024-01-25,237.0,242.05,235.025,241.3,9954.0
2024-01-26,241.125,244.825,240.7,242.85,7842.0
2024-01-29,242.9,245.1,241.525,241.75,5918.0
2024-01-30,241.75,244.75,241.15,244.5,5629.0
2024-01-31,244.1,244.725,242.7,243.3,4561.0
2024-02-01,244.1,248.825,244.0,248.075,7820.0
2024-02-02,248.2,249.35,247.2,248.0,5813.0
2024-02-05,248.2,249.025,245.525,245.925,5120.0
2024-02-06,245.6,250.35,245.3,249.9,6397.0
2024-02-07,250.2,251.5,248.25,248.775,5126.0
2024-02-08,249.975,252.425,249.5,250.075,4810.0
2024-02-09,250.5,251.6,249.15,250.4,3908.0
2024-02-12,250.4,253.175,250.35,252.075,4410.0
2024-02-13,251.775,252.25,250.55,251.25,3249.0
2024-02-14,251.25,251.65,246.75,249.45,5867.0
2024-02-15,248.525,250.6,247.225,250.35,4288.0
2024-02-16,250.375,255.225,250.375,254.325,6667.0
2024-02-20,253.9,255.55,252.525,254.675,4400.0
2024-02-21,254.475,256.775,253.675,254.65,3764.0
2024-02-22,254.4,257.625,254.125,255.425,3890.0
2024-02-23,255.425,258.775,254.5,258.675,4401.0
2024-02-26,256.825,259.5,255.375,257.6,5527.0
2024-02-27,257.725,259.35,256.375,257.65,3496.0
2024-02-28,256.95,257.5,253.125,253.825,4480.0
2024-02-29,253.75,254.325,250.725,252.45,4705.0
2024-03-01,253.025,256.85,252.5,256.7,5616.0
2024-03-04,256.7,256.925,254.175,254.475,3819.0
2024-03-05,254.475,256.3,254.125,255.9,3821.0
2024-03-06,255.8,256.75,253.675,254.6,4218.0
2024-03-07,254.075,255.575,253.225,255.025,4047.0
2024-03-08,255.25,257.025,252.425,252.825,5530.0
2024-03-11,252.7,252.725,251.375,251.825,3036.0
2024-03-12,251.6,253.5,251.4,252.85,3748.0
2024-03-13,252.625,254.65,252.35,254.575,3873.0
2024-03-14,254.725,255.625,249.525,249.925,5876.0
2024-03-15,250.75,252.6,250.0,250.875,4763.0
2024-03-18,251.1,253.975,251.1,253.825,4004.0
2024-03-19,253.55,254.575,252.925,253.625,2575.0
2024-03-20,253.55,254.525,252.95,253.5,2423.0
2024-03-21,253.025,255.275,251.575,252.8,4908.0
2024-03-22,252.8,253.125,247.325,248.575,7206.0
2024-03-25,246.5,250.7,245.275,247.45,7465.0
2024-03-26,247.25,247.625,240.4,242.2,9602.0
2024-03-27,242.425,243.65,240.975,243.2,5100.0
2024-03-28,243.2,244.2,241.75,243.6,5327.0
2024-04-01,242.925,246.15,235.925,237.7,8843.0
2024-04-02,237.975,241.175,236.45,239.85,10079.0
2024-04-03,240.15,240.225,235.45,237.6,6520.0
2024-04-04,237.725,239.85,237.475,238.875,4492.0
