date,open,high,low,close,volume
2022-10-17,86.2,86.2,86.2,86.2,0.0
2022-10-18,86.425,86.425,86.425,86.425,0.0
2022-10-19,86.325,86.325,86.325,86.325,0.0
2022-10-20,86.25,86.25,86.25,86.25,0.0
2022-10-21,86.225,86.225,86.225,86.225,0.0
2022-10-24,85.875,85.875,85.875,85.875,0.0
2022-10-25,86.15,86.15,86.15,86.15,0.0
2022-10-26,86.425,86.425,86.425,86.425,0.0
2022-10-27,86.15,86.15,86.075,86.075,2.0
2022-10-28,86.3,86.3,86.3,86.3,0.0
2022-10-31,86.675,86.675,86.675,86.675,0.0
2022-11-01,86.525,86.525,86.525,86.525,0.0
2022-11-02,86.575,86.575,86.575,86.575,0.0
2022-11-03,86.4,86.4,86.4,86.4,0.0
2022-11-04,86.375,86.375,86.375,86.375,0.0
2022-11-07,85.2,85.2,85.2,85.2,0.0
2022-11-08,85.35,85.35,85.35,85.35,0.0
2022-11-09,85.625,85.625,85.625,85.625,0.0
2022-11-10,84.775,84.775,84.775,84.775,0.0
2022-11-14,84.625,84.625,84.625,84.625,0.0
2022-11-15,84.95,84.95,84.95,84.95,0.0
2022-11-16,84.7,84.7,84.7,84.7,0.0
2022-11-17,84.9,84.9,84.725,84.725,3.0
2022-11-18,84.625,84.625,84.625,84.625,0.0
2022-11-21,84.625,84.625,84.625,84.625,0.0
2022-11-22,84.975,84.975,84.975,84.975,0.0
2022-11-23,84.9,84.9,84.9,84.9,0.0
2022-11-25,84.7,84.7,84.7,84.7,0.0
2022-11-28,83.525,83.525,83.525,83.525,0.0
2022-11-29,83.85,83.85,83.85,83.85,0.0
2022-11-30,85.0,85.0,85.0,85.0,0.0
2022-12-01,85.05,85.05,85.05,85.05,0.0
2022-12-02,85.05,85.05,85.05,85.05,0.0
2022-12-05,85.025,85.025,85.025,85.025,0.0
2022-12-06,84.525,84.525,84.525,84.525,0.0
2022-12-07,84.525,84.525,84.525,84.525,3.0
2022-12-08,83.05,83.05,83.05,83.05,0.0
2022-12-09,83.05,83.05,83.05,83.05,0.0
2022-12-12,84.025,84.025,84.025,84.025,0.0
2022-12-13,85.075,85.075,85.075,85.075,0.0
2022-12-14,84.925,84.925,84.75,84.75,9.0
2022-12-15,84.775,84.775,84.775,84.775,3.0
2022-12-16,85.0,85.0,85.0,85.0,25.0
2022-12-19,84.925,84.975,84.925,84.975,48.0
2022-12-20,85.05,85.05,85.05,85.05,0.0
2022-12-21,85.1,85.1,84.75,84.825,55.0
2022-12-22,84.925,84.925,84.925,84.925,0.0
2022-12-23,85.275,85.275,85.275,85.275,0.0
2022-12-27,85.525,85.525,85.525,85.525,0.0
2022-12-28,85.55,85.55,85.55,85.55,1.0
2022-12-29,85.325,85.325,85.325,85.325,0.0
2022-12-30,85.525,85.55,85.525,85.55,29.0
2023-01-03,85.975,85.975,85.975,85.975,0.0
2023-01-04,85.175,85.175,85.175,85.175,0.0
2023-01-05,85.175,85.175,85.175,85.175,18.0
2023-01-06,85.175,85.175,83.925,83.925,24.0
2023-01-09,85.1,85.1,85.1,85.1,0.0
2023-01-10,85.1,85.175,85.05,85.05,32.0
2023-01-11,85.05,85.05,84.675,84.75,71.0
2023-01-12,84.75,85.175,84.45,85.175,36.0
2023-01-13,85.175,85.3,85.175,85.3,18.0
2023-01-17,86.05,86.1,86.0,86.1,29.0
2023-01-18,86.1,86.1,85.4,85.4,18.0
2023-01-19,85.4,85.4,85.125,85.225,25.0
2023-01-20,85.725,85.725,85.725,85.725,1.0
2023-01-23,85.75,85.75,85.225,85.225,34.0
2023-01-24,85.225,85.55,85.225,85.425,24.0
2023-01-25,85.6,85.6,85.6,85.6,12.0
2023-01-26,85.6,85.85,85.525,85.6,34.0
2023-01-27,85.6,85.775,85.225,85.775,121.0
2023-01-30,85.775,85.95,85.775,85.95,20.0
2023-01-31,86.025,86.025,85.8,85.8,26.0
2023-02-01,85.8,85.8,84.425,85.0,36.0
2023-02-02,85.0,85.4,85.0,85.325,95.0
2023-02-03,85.325,85.525,85.325,85.525,60.0
2023-02-06,85.575,85.575,84.775,84.775,22.0
2023-02-07,84.95,84.95,84.95,84.95,18.0
2023-02-08,85.275,85.425,85.125,85.425,23.0
2023-02-09,85.425,85.425,85.425,85.425,19.0
2023-02-10,85.425,85.425,85.425,85.425,18.0
2023-02-13,85.675,85.775,85.675,85.775,2.0
2023-02-14,85.775,85.925,85.775,85.925,14.0
2023-02-15,85.925,86.0,85.925,86.0,19.0
2023-02-16,86.0,86.05,86.0,86.05,18.0
2023-02-17,86.425,86.425,86.05,86.15,20.0
2023-02-21,86.525,86.525,86.525,86.525,0.0
2023-02-22,86.525,86.625,86.125,86.625,30.0
2023-02-23,86.65,86.65,86.275,86.35,30.0
