date,open,high,low,close,volume
2021-03-11,4.5235,4.5235,4.5235,4.5235,0.0
2021-03-12,4.5215,4.5215,4.5215,4.5215,0.0
2021-03-15,4.512,4.512,4.512,4.512,0.0
2021-03-16,4.446,4.446,4.446,4.446,0.0
2021-03-17,4.4955,4.4955,4.4955,4.4955,0.0
2021-03-18,4.476,4.476,4.476,4.476,0.0
2021-03-19,4.474,4.474,4.474,4.474,0.0
2021-03-22,4.512,4.512,4.512,4.512,0.0
2021-03-23,4.4515,4.4515,4.4515,4.4515,0.0
2021-03-24,4.4465,4.4465,4.4465,4.4465,0.0
2021-03-25,4.3475,4.3475,4.3475,4.3475,0.0
2021-03-26,4.445,4.445,4.445,4.445,0.0
2021-03-29,4.4125,4.4125,4.4125,4.4125,0.0
2021-03-30,4.357,4.357,4.357,4.357,0.0
2021-03-31,4.377,4.377,4.377,4.377,0.0
2021-04-01,4.374,4.374,4.374,4.374,0.0
2021-04-05,4.53,4.53,4.53,4.53,0.0
2021-04-06,4.497,4.497,4.497,4.497,0.0
2021-04-07,4.439,4.439,4.439,4.439,0.0
2021-04-08,4.4885,4.4885,4.4885,4.4885,0.0
2021-04-09,4.4325,4.4325,4.4325,4.4325,0.0
2021-04-12,4.4165,4.4165,4.4165,4.4165,0.0
2021-04-13,4.4325,4.4325,4.4325,4.4325,0.0
2021-04-14,4.5265,4.5265,4.5265,4.5265,0.0
2021-04-15,4.609,4.609,4.609,4.609,0.0
2021-04-16,4.5585,4.5585,4.5585,4.5585,0.0
2021-04-19,4.6505,4.6505,4.6505,4.6505,0.0
2021-04-20,4.627,4.627,4.627,4.627,0.0
2021-04-21,4.697,4.697,4.697,4.697,0.0
2021-04-22,4.692,4.692,4.692,4.692,0.0
2021-04-23,4.753,4.753,4.753,4.753,0.0
2021-04-26,4.858,4.858,4.858,4.858,0.0
2021-04-27,4.9035,4.9035,4.9035,4.9035,0.0
2021-04-28,4.9075,4.9075,4.9075,4.9075,0.0
2021-04-29,4.8945,4.8945,4.8945,4.8945,0.0
2021-04-30,4.8815,4.8815,4.8815,4.8815,0.0
2021-05-03,4.9475,4.9475,4.9475,4.9475,0.0
2021-05-04,4.9395,4.9395,4.9395,4.9395,0.0
2021-05-05,4.947,4.947,4.947,4.947,0.0
2021-05-06,5.0285,5.0285,5.0285,5.0285,0.0
2021-05-07,5.184,5.184,5.184,5.184,0.0
2021-05-10,5.1615,5.1615,5.1615,5.1615,0.0
2021-05-11,5.2265,5.2265,5.2265,5.2265,0.0
2021-05-12,5.197,5.197,5.197,5.197,0.0
2021-05-13,5.1525,5.1525,5.1525,5.1525,0.0
2021-05-14,5.137,5.137,5.137,5.137,0.0
2021-05-17,5.201,5.201,5.201,5.201,0.0
2021-05-18,5.209,5.209,5.209,5.209,0.0
2021-05-19,5.057,5.057,5.057,5.057,0.0
2021-05-20,5.0495,5.0495,5.0495,5.0495,0.0
2021-05-21,4.9525,4.9525,4.9525,4.9525,0.0
2021-05-24,5.008,5.008,5.008,5.008,0.0
2021-05-25,4.985,4.985,4.985,4.985,0.0
2021-05-26,5.0095,5.0095,5.0095,5.0095,0.0
2021-05-27,5.1575,5.1575,5.1575,5.1575,0.0
2021-05-28,5.18,5.18,5.18,5.18,0.0
2021-06-01,5.157,5.157,5.157,5.157,0.0
2021-06-02,5.095,5.095,5.095,5.095,0.0
2021-06-03,4.9815,4.9815,4.9815,4.9815,0.0
2021-06-04,5.046,5.046,5.046,5.046,0.0
2021-06-07,5.0625,5.0625,5.0625,5.0625,0.0
2021-06-08,5.0835,5.0835,5.0835,5.0835,0.0
2021-06-09,5.0535,5.0535,5.0535,5.0535,0.0
2021-06-10,5.015,5.015,5.015,5.015,0.0
2021-06-11,5.068,5.068,5.068,5.068,0.0
2021-06-14,5.054,5.054,5.054,5.054,0.0
2021-06-15,4.8415,4.8415,4.8415,4.8415,0.0
2021-06-16,4.895,4.895,4.895,4.895,0.0
2021-06-17,4.677,4.677,4.677,4.677,0.0
2021-06-18,4.6495,4.6495,4.6495,4.6495,0.0
2021-06-21,4.6565,4.6565,4.6565,4.6565,0.0
2021-06-22,4.692,4.692,4.692,4.692,0.0
2021-06-23,4.8185,4.8185,4.8185,4.8185,0.0
2021-06-24,4.798,4.798,4.798,4.798,0.0
2021-06-25,4.77,4.77,4.77,4.77,0.0
2021-06-28,4.763,4.763,4.763,4.763,0.0
2021-06-29,4.7185,4.7185,4.7185,4.7185,0.0
2021-06-30,4.7455,4.7455,4.7455,4.7455,0.0
2021-07-08,4.737,4.737,4.737,4.737,0.0
2021-07-09,4.828,4.828,4.828,4.828,0.0
2021-07-12,4.791,4.791,4.791,4.791,0.0
2021-07-13,4.777,4.777,4.777,4.777,0.0
2021-07-14,4.736,4.736,4.736,4.736,0.0
2021-07-15,4.7935,4.7935,4.7935,4.7935,0.0
2021-07-16,4.7935,4.7935,4.7935,4.7935,0.0
2021-07-19,4.666,4.666,4.666,4.666,0.0
2021-07-20,4.7355,4.7355,4.7355,4.7355,0.0
