date,open,high,low,close,volume
2021-04-05,115.0,115.0,115.0,115.0,0.0
2021-04-06,118.55,118.55,118.55,118.55,0.0
2021-04-07,118.55,118.55,118.55,118.55,0.0
2021-04-08,119.45,119.45,119.45,119.45,0.0
2021-04-09,118.55,118.55,118.55,118.55,0.0
2021-04-12,119.05,119.05,119.05,119.05,0.0
2021-04-13,120.35,120.35,120.35,120.35,0.0
2021-04-14,121.55,121.55,121.55,121.55,0.0
2021-04-15,121.65,122.15,121.65,122.15,5.0
2021-04-16,119.45,119.45,119.45,119.45,0.0
2021-04-19,120.05,120.05,120.05,120.05,0.0
2021-04-20,122.05,122.05,122.05,122.05,0.0
2021-04-21,121.9,121.9,121.9,121.9,0.0
2021-04-22,123.5,123.5,123.5,123.5,0.0
2021-04-23,125.2,125.2,125.2,125.2,0.0
2021-04-26,127.0,128.1,126.75,128.1,32.0
2021-04-27,129.65,129.65,129.65,129.65,0.0
2021-04-28,128.9,129.55,128.9,129.55,1.0
2021-04-29,127.05,127.3,127.05,127.3,1.0
2021-04-30,126.5,126.5,126.5,126.5,0.0
2021-05-03,125.7,125.7,125.7,125.7,0.0
2021-05-04,125.95,125.95,125.95,125.95,0.0
2021-05-05,129.05,133.4,129.05,133.4,5.0
2021-05-06,133.35,137.0,133.35,137.0,41.0
2021-05-07,136.5,136.5,134.15,136.25,26.0
2021-05-10,135.95,135.95,132.45,132.45,4.0
2021-05-11,134.0,134.0,134.0,134.0,0.0
2021-05-12,131.3,131.3,131.3,131.3,0.0
2021-05-13,131.85,131.85,131.85,131.85,0.0
2021-05-14,131.15,131.15,131.15,131.15,0.0
2021-05-17,131.9,131.9,131.9,131.9,0.0
2021-05-18,135.95,137.0,135.95,137.0,10.0
2021-05-19,135.45,135.45,135.45,135.45,0.0
2021-05-20,135.5,135.5,135.5,135.5,0.0
2021-05-21,134.9,134.9,134.9,134.9,0.0
2021-05-24,134.2,134.2,134.2,134.2,0.0
2021-05-25,135.5,135.5,135.5,135.5,0.0
2021-05-26,139.65,139.65,139.65,139.65,0.0
2021-05-27,139.75,139.75,139.75,139.75,0.0
2021-05-28,144.55,145.05,144.55,144.8,9.0
2021-06-01,144.1,144.1,144.1,144.1,0.0
2021-06-02,144.95,144.95,144.4,144.4,3.0
2021-06-03,142.05,142.05,142.05,142.05,0.0
2021-06-04,145.6,145.6,145.6,145.6,0.0
2021-06-07,144.4,144.4,144.4,144.4,0.0
2021-06-08,143.7,143.7,143.7,143.7,0.0
2021-06-09,143.05,143.05,143.05,143.05,0.0
2021-06-10,144.25,144.25,144.25,144.25,0.0
2021-06-11,143.25,143.25,143.25,143.25,0.0
2021-06-14,140.85,140.85,140.85,140.85,0.0
2021-06-15,139.0,139.0,139.0,139.0,0.0
