date,open,high,low,close,volume
2022-11-01,162.175,162.175,161.9,161.9,2.0
2022-11-02,161.8,161.8,161.6,161.65,7.0
2022-11-03,161.425,161.65,161.425,161.525,5.0
2022-11-04,161.65,161.8,161.575,161.575,8.0
2022-11-07,161.45,161.575,161.45,161.575,3.0
2022-11-08,161.325,161.4,160.95,161.4,10.0
2022-11-09,161.175,161.325,160.95,160.95,11.0
2022-11-10,161.575,161.9,160.95,161.85,30.0
2022-11-11,161.7,161.7,161.575,161.7,18.0
2022-11-14,161.275,161.35,160.275,160.4,36.0
2022-11-15,160.4,160.75,160.15,160.425,37.0
2022-11-16,160.7,160.875,160.5,160.875,52.0
2022-11-17,160.55,161.15,160.55,160.95,35.0
2022-11-18,161.125,161.275,160.9,161.275,40.0
2022-11-21,162.15,162.15,161.65,161.725,58.0
2022-11-22,162.15,162.425,161.525,161.9,52.0
2022-11-23,162.375,162.375,161.725,161.95,22.0
2022-11-25,161.875,161.9,161.65,161.65,17.0
2022-11-28,161.775,161.775,161.1,161.275,27.0
2022-11-29,161.1,161.75,161.1,161.425,35.0
2022-11-30,161.425,161.9,161.275,161.7,60.0
2022-12-01,161.425,161.7,161.175,161.7,44.0
2022-12-02,161.9,162.1,161.85,162.1,7.0
2022-12-05,161.925,162.225,161.925,162.05,14.0
2022-12-06,161.8,161.8,160.45,160.6,18.0
2022-12-07,161.125,161.125,161.125,161.125,1.0
2022-12-08,161.125,161.125,160.95,161.025,33.0
2022-12-09,160.85,161.225,160.775,160.95,13.0
2022-12-12,160.925,161.2,160.8,161.2,27.0
2022-12-13,161.375,161.5,160.925,160.975,9.0
2022-12-14,160.85,161.025,160.7,160.725,23.0
2022-12-15,160.95,160.95,160.55,160.65,13.0
2022-12-16,160.95,160.95,160.625,160.7,7.0
2022-12-19,160.45,160.75,160.45,160.75,26.0
2022-12-20,160.9,161.025,160.825,161.0,9.0
2022-12-21,161.2,161.325,161.2,161.25,8.0
2022-12-22,161.375,161.575,161.375,161.575,17.0
2022-12-23,161.5,161.7,161.225,161.4,59.0
2022-12-27,161.7,161.7,161.525,161.55,4.0
2022-12-28,161.7,162.425,161.7,162.425,10.0
2022-12-29,162.55,162.75,162.45,162.525,13.0
2022-12-30,162.625,162.625,162.375,162.475,11.0
2023-01-03,162.875,162.875,161.9,162.425,22.0
2023-01-04,162.875,162.95,162.725,162.725,17.0
2023-01-05,162.325,162.6,162.0,162.25,34.0
2023-01-06,162.0,162.0,162.0,162.0,0.0
2023-01-09,162.2,163.025,161.9,162.975,67.0
2023-01-10,163.1,163.675,162.925,163.175,55.0
2023-01-11,162.725,163.1,162.725,163.1,23.0
2023-01-12,162.95,163.175,162.6,163.025,23.0
2023-01-13,163.1,163.475,162.575,163.475,36.0
2023-01-17,163.1,163.35,163.1,163.35,17.0
2023-01-18,163.35,163.825,163.35,163.5,71.0
2023-01-19,163.3,163.3,162.55,162.825,357.0
2023-01-20,162.7,163.375,162.7,163.25,107.0
2023-01-23,163.35,163.7,163.225,163.675,46.0
2023-01-24,163.6,163.825,163.3,163.825,95.0
2023-01-25,163.575,164.05,163.575,164.0,72.0
2023-01-26,163.775,163.975,163.35,163.525,155.0
2023-01-27,163.35,163.65,163.2,163.55,58.0
2023-01-30,163.8,164.6,163.8,164.3,99.0
2023-01-31,163.825,164.75,163.825,164.5,40.0
2023-02-01,164.8,164.925,164.125,164.125,142.0
2023-02-02,164.15,165.275,164.125,164.9,75.0
2023-02-03,165.0,165.125,164.9,165.05,56.0
2023-02-06,165.275,165.9,165.15,165.9,181.0
2023-02-07,165.725,165.825,165.175,165.175,76.0
2023-02-08,165.05,165.575,165.05,165.075,66.0
2023-02-09,165.05,165.425,164.975,164.975,122.0
2023-02-10,164.8,165.275,164.8,164.975,101.0
2023-02-13,165.375,165.775,164.95,165.575,128.0
2023-02-14,165.275,165.425,165.175,165.325,94.0
2023-02-15,165.425,165.6,165.275,165.45,42.0
2023-02-16,165.6,165.6,165.1,165.15,52.0
2023-02-17,164.85,165.6,164.8,165.425,64.0
2023-02-21,165.725,166.0,165.425,165.625,37.0
2023-02-22,165.125,165.95,165.125,165.75,127.0
2023-02-23,165.75,166.425,165.7,166.125,241.0
2023-02-24,166.125,166.25,165.375,165.825,197.0
2023-02-27,165.65,166.425,165.65,166.025,92.0
2023-02-28,165.775,166.375,165.775,166.275,205.0
2023-03-01,166.25,166.7,165.6,166.275,219.0
2023-03-02,166.25,166.325,165.6,165.9,264.0
2023-03-03,165.925,166.875,165.75,166.825,370.0
2023-03-06,166.85,167.575,166.7,167.475,397.0
2023-03-07,167.45,167.775,167.125,167.675,440.0
2023-03-08,167.525,168.175,167.275,168.1,495.0
2023-03-09,167.925,168.025,167.25,167.55,291.0
2023-03-10,167.325,167.35,166.875,167.05,250.0
2023-03-13,166.725,166.95,166.2,166.9,429.0
2023-03-14,166.9,167.0,166.5,166.725,249.0
2023-03-15,166.425,166.5,165.75,165.9,275.0
2023-03-16,165.75,166.675,165.325,166.35,499.0
2023-03-17,166.2,166.4,165.65,166.375,148.0
2023-03-20,166.375,166.725,166.25,166.35,235.0
2023-03-21,166.425,166.6,165.725,166.025,228.0
2023-03-22,165.775,165.875,164.925,165.425,430.0
2023-03-23,165.275,165.5,164.925,165.15,432.0
2023-03-24,165.225,165.6,164.925,165.4,529.0
2023-03-27,165.75,167.1,165.725,167.025,467.0
2023-03-28,166.775,167.4,166.775,167.3,316.0
2023-03-29,167.2,167.875,167.2,167.825,385.0
2023-03-30,167.675,169.025,167.675,168.8,503.0
2023-03-31,168.65,169.575,168.65,169.225,711.0
2023-04-03,169.2,169.55,168.675,169.35,246.0
2023-04-04,169.35,169.55,168.65,168.825,278.0
2023-04-05,168.65,169.1,168.65,168.85,160.0
2023-04-06,169.6,170.35,169.4,170.1,1123.0
2023-04-10,170.025,170.525,169.625,170.5,361.0
2023-04-11,170.55,171.225,170.5,171.2,550.0
2023-04-12,171.175,171.825,171.1,171.675,407.0
2023-04-13,172.025,172.375,171.075,171.1,620.0
2023-04-14,170.925,171.1,170.475,171.0,349.0
2023-04-17,171.175,171.75,170.925,171.625,425.0
2023-04-18,171.625,171.95,171.325,171.8,482.0
2023-04-19,171.55,172.025,170.825,171.2,762.0
2023-04-20,170.925,171.825,170.35,171.775,553.0
2023-04-21,171.7,171.875,170.975,171.625,815.0
2023-04-24,170.475,171.65,170.45,171.45,696.0
2023-04-25,170.925,171.5,170.9,171.375,1026.0
2023-04-26,171.35,172.225,170.925,172.2,946.0
2023-04-27,172.375,172.525,171.85,172.275,454.0
2023-04-28,172.05,172.275,171.925,172.225,584.0
2023-05-01,172.025,172.275,171.4,171.8,760.0
2023-05-02,171.6,171.6,169.95,170.125,1165.0
2023-05-03,169.75,169.925,168.6,169.275,2520.0
2023-05-04,169.125,169.6,169.1,169.425,700.0
2023-05-05,169.725,170.2,168.925,169.275,1197.0
2023-05-08,169.125,170.075,168.925,169.975,482.0
2023-05-09,170.1,171.125,169.775,171.0,684.0
2023-05-10,170.65,171.225,170.4,170.675,775.0
2023-05-11,170.65,171.075,170.25,170.5,675.0
2023-05-12,170.75,171.325,170.25,171.275,690.0
2023-05-15,171.35,171.85,170.8,171.825,559.0
2023-05-16,171.775,172.0,171.35,171.5,460.0
2023-05-17,171.45,171.55,170.725,171.3,757.0
2023-05-18,171.05,172.275,171.025,172.15,760.0
2023-05-19,172.25,172.875,171.9,172.625,833.0
2023-05-22,172.4,172.8,171.75,172.7,657.0
2023-05-23,172.95,173.025,172.35,172.45,775.0
2023-05-24,172.3,173.2,171.925,173.15,1666.0
2023-05-25,173.375,173.525,172.8,173.45,1271.0
2023-05-26,173.475,174.3,173.4,173.975,1021.0
2023-05-30,173.825,175.45,173.825,175.4,1138.0
2023-05-31,175.375,176.225,174.95,175.9,2171.0
2023-06-01,175.75,179.15,175.65,178.95,3942.0
2023-06-02,178.95,179.75,178.325,178.975,2667.0
2023-06-05,179.025,179.925,178.825,179.375,1245.0
2023-06-06,179.375,180.975,178.975,180.525,2180.0
2023-06-07,180.8,181.475,177.425,177.925,2808.0
2023-06-08,177.9,178.1,176.55,176.775,2607.0
2023-06-09,176.85,177.95,175.975,176.875,1701.0
2023-06-12,176.75,178.225,176.575,178.2,1095.0
2023-06-13,177.8,179.275,177.4,179.0,2061.0
2023-06-14,179.025,179.025,176.575,176.7,1865.0
2023-06-15,176.55,177.4,175.725,177.075,1403.0
2023-06-16,177.075,179.1,177.075,178.575,1895.0
