date,open,high,low,close,volume
2022-10-04,1655.5,1655.5,1655.5,1655.5,0.0
2022-10-05,1649.5,1649.5,1649.5,1649.5,0.0
2022-10-06,1660.5,1660.5,1660.5,1660.5,0.0
2022-10-07,1594.0,1594.0,1594.0,1594.0,0.0
2022-10-10,1562.5,1562.5,1562.5,1562.5,0.0
2022-10-11,1520.0,1520.0,1520.0,1520.0,0.0
2022-10-12,1540.0,1540.0,1540.0,1540.0,0.0
2022-10-13,1510.0,1510.0,1510.0,1510.0,0.0
2022-10-14,1584.5,1584.5,1584.5,1584.5,0.0
2022-10-17,1618.5,1618.5,1618.5,1618.5,0.0
2022-10-18,1528.5,1528.5,1528.5,1528.5,0.0
2022-10-19,1526.5,1526.5,1526.5,1526.5,0.0
2022-10-20,1513.0,1513.0,1513.0,1513.0,0.0
2022-10-21,1590.0,1590.0,1590.0,1590.0,0.0
2022-10-24,1641.0,1641.0,1641.0,1641.0,0.0
2022-10-25,1758.5,1758.5,1758.5,1758.5,0.0
2022-10-26,1862.0,1862.0,1862.0,1862.0,0.0
2022-10-27,1862.5,1862.5,1862.5,1862.5,0.0
2022-10-28,1858.5,1858.5,1858.5,1858.5,0.0
2022-10-31,1871.5,1871.5,1871.5,1871.5,0.0
2022-11-01,1890.0,1890.0,1890.0,1890.0,0.0
2022-11-02,1847.0,1847.0,1847.0,1847.0,0.0
2022-11-03,1852.5,1852.5,1852.5,1852.5,0.0
2022-11-07,1934.0,1934.0,1934.0,1934.0,0.0
2022-11-08,1594.0,1594.0,1594.0,1594.0,0.0
2022-11-09,1420.0,1420.0,1420.0,1420.0,0.0
2022-11-10,1627.5,1627.5,1627.5,1627.5,0.0
2022-11-11,1518.0,1518.0,1518.0,1518.0,0.0
2022-11-14,1481.5,1481.5,1481.5,1481.5,0.0
2022-11-15,1526.5,1526.5,1526.5,1526.5,0.0
2022-11-16,1476.5,1476.5,1476.5,1476.5,0.0
2022-11-17,1436.0,1436.0,1436.0,1436.0,0.0
2022-11-18,1445.0,1445.0,1445.0,1445.0,0.0
2022-11-21,1334.0,1334.0,1334.0,1334.0,0.0
2022-11-22,1373.0,1373.0,1373.0,1373.0,0.0
2022-11-23,1369.5,1417.5,1369.5,1417.5,1.0
2022-11-24,1417.5,1417.5,1417.5,1417.5,0.0
2022-11-25,1420.0,1420.0,1420.0,1420.0,0.0
2022-11-28,1316.5,1316.5,1316.5,1316.5,0.0
2022-11-29,1378.0,1378.0,1378.0,1378.0,0.0
2022-11-30,1460.0,1460.0,1460.0,1460.0,0.0
2022-12-01,1435.0,1435.0,1435.0,1435.0,0.0
2022-12-02,1458.0,1458.0,1458.0,1458.0,0.0
2022-12-05,1417.0,1417.0,1417.0,1417.0,0.0
2022-12-06,1415.0,1415.0,1415.0,1415.0,0.0
2022-12-07,1391.0,1391.0,1391.0,1391.0,0.0
2022-12-08,1442.5,1442.5,1442.5,1442.5,0.0
2022-12-09,1464.0,1464.0,1464.0,1464.0,0.0
2022-12-12,1467.5,1467.5,1467.5,1467.5,0.0
2022-12-13,1529.0,1529.0,1529.0,1529.0,0.0
2022-12-14,1629.0,1629.0,1519.0,1519.0,10.0
2022-12-15,1475.5,1475.5,1475.5,1475.5,0.0
2022-12-16,1398.0,1398.0,1398.0,1398.0,0.0
2022-12-19,1364.5,1364.5,1364.5,1364.5,0.0
2022-12-20,1407.5,1407.5,1407.5,1407.5,0.0
2022-12-21,1403.5,1403.5,1403.5,1403.5,0.0
2022-12-22,1413.0,1413.0,1413.0,1413.0,0.0
2022-12-23,1415.5,1415.5,1415.5,1415.5,0.0
2022-12-27,1438.5,1438.5,1403.5,1403.5,13.0
