date,open,high,low,close,volume
2021-03-11,4.103,4.103,4.103,4.103,0.0
2021-03-12,4.106,4.106,4.106,4.106,0.0
2021-03-15,4.097,4.097,4.043,4.043,3.0
2021-03-16,4.079,4.079,4.079,4.079,0.0
2021-03-17,4.046,4.046,4.046,4.046,0.0
2021-03-18,4.043,4.043,4.043,4.043,0.0
2021-03-19,4.053,4.053,4.053,4.053,0.0
2021-03-22,4.046,4.046,4.046,4.046,0.0
2021-03-23,4.07,4.07,4.07,4.07,0.0
2021-03-24,4.075,4.075,4.075,4.075,0.0
2021-03-25,4.075,4.075,4.075,4.075,0.0
2021-03-26,4.068,4.068,4.068,4.068,0.0
2021-03-29,4.077,4.077,4.077,4.077,0.0
2021-03-30,4.08,4.08,4.08,4.08,0.0
2021-03-31,4.161,4.161,4.116,4.116,2.0
2021-04-01,4.142,4.142,4.142,4.142,0.0
2021-04-05,4.12,4.12,4.12,4.12,0.0
2021-04-06,4.072,4.072,4.072,4.072,0.0
2021-04-07,4.077,4.077,4.077,4.077,0.0
2021-04-08,4.085,4.085,4.085,4.085,0.0
2021-04-09,4.115,4.116,4.115,4.116,4.0
2021-04-12,4.132,4.132,4.132,4.132,0.0
2021-04-13,4.12,4.12,4.12,4.12,0.0
2021-04-14,4.154,4.154,4.154,4.154,0.0
2021-04-15,4.165,4.165,4.165,4.165,0.0
2021-04-16,4.187,4.187,4.187,4.187,0.0
2021-04-19,4.218,4.218,4.177,4.177,2.0
2021-04-20,4.134,4.134,4.134,4.134,0.0
2021-04-21,4.11,4.11,4.11,4.11,0.0
2021-04-22,4.097,4.097,4.097,4.097,0.0
2021-04-23,4.111,4.111,4.111,4.111,0.0
2021-04-26,4.094,4.094,4.094,4.094,0.0
2021-04-27,4.113,4.113,4.113,4.113,0.0
2021-04-28,4.116,4.116,4.116,4.116,0.0
2021-04-29,4.151,4.151,4.12,4.12,1.0
2021-04-30,4.158,4.158,4.134,4.134,6.0
2021-05-03,4.139,4.139,4.139,4.139,0.0
2021-05-04,4.154,4.154,4.154,4.154,0.0
2021-05-05,4.158,4.158,4.158,4.158,0.0
2021-05-06,4.14,4.14,4.14,4.14,0.0
2021-05-07,4.152,4.152,4.152,4.152,0.0
2021-05-10,4.158,4.158,4.158,4.158,0.0
2021-05-11,4.152,4.152,4.152,4.152,0.0
2021-05-12,4.151,4.151,4.151,4.151,0.0
2021-05-13,4.147,4.147,4.147,4.147,0.0
2021-05-14,4.158,4.158,4.158,4.158,0.0
2021-05-17,4.165,4.165,4.165,4.165,0.0
2021-05-18,4.166,4.166,4.137,4.137,4.0
2021-05-19,4.144,4.144,4.144,4.144,0.0
2021-05-20,4.146,4.146,4.146,4.146,0.0
2021-05-21,4.161,4.161,4.161,4.161,0.0
2021-05-24,4.151,4.151,4.151,4.151,0.0
2021-05-25,4.17,4.17,4.17,4.17,0.0
2021-05-26,4.168,4.168,4.168,4.168,0.0
2021-05-27,4.163,4.163,4.163,4.163,0.0
2021-05-28,4.18,4.18,4.18,4.18,0.0
