date,open,high,low,close,volume
2022-12-19,1947.0,1947.0,1947.0,1947.0,0.0
2022-12-20,1957.0,1957.0,1957.0,1957.0,0.0
2022-12-21,1987.7,1987.7,1987.7,1987.7,0.0
2022-12-22,1963.2,1963.2,1963.2,1963.2,0.0
2022-12-23,1970.6,1970.6,1970.6,1970.6,0.0
2022-12-27,1957.4,1957.4,1957.4,1957.4,0.0
2022-12-28,1927.5,1927.5,1927.5,1927.5,0.0
2022-12-29,1975.3,1975.3,1975.3,1975.3,0.0
2022-12-30,1983.0,1983.0,1983.0,1983.0,0.0
2023-01-03,1957.1,1957.1,1957.1,1957.1,0.0
2023-01-04,1982.1,1982.1,1982.1,1982.1,0.0
2023-01-05,1960.3,1960.3,1960.3,1960.3,0.0
2023-01-06,2003.1,2003.1,2003.1,2003.1,0.0
2023-01-09,2007.5,2007.5,2007.5,2007.5,0.0
2023-01-10,2036.4,2036.4,2036.4,2036.4,0.0
2023-01-11,2060.7,2060.7,2060.7,2060.7,0.0
2023-01-12,2096.2,2096.2,2096.2,2096.2,0.0
2023-01-13,2108.7,2108.7,2108.7,2108.7,0.0
2023-01-17,2105.1,2105.1,2105.1,2105.1,0.0
2023-01-18,2071.6,2071.6,2071.6,2071.6,0.0
2023-01-19,2051.1,2051.1,2051.1,2051.1,0.0
2023-01-20,2085.0,2085.0,2085.0,2085.0,0.0
2023-01-23,2110.7,2110.7,2110.7,2110.7,0.0
2023-01-24,2106.6,2106.6,2106.6,2106.6,0.0
2023-01-25,2110.6,2110.6,2110.6,2110.6,0.0
2023-01-26,2123.8,2123.8,2123.8,2123.8,0.0
2023-01-27,2133.3,2133.3,2133.3,2133.3,0.0
2023-01-30,2105.2,2105.2,2105.2,2105.2,0.0
2023-01-31,2155.3,2155.3,2155.3,2155.3,0.0
2023-02-01,2187.0,2187.0,2187.0,2187.0,0.0
2023-02-02,2230.9,2230.9,2230.9,2230.9,0.0
2023-02-03,2215.3,2215.3,2215.3,2215.3,0.0
2023-02-10,2136.3,2136.3,2136.3,2136.3,0.0
2023-02-13,2162.8,2162.8,2162.8,2162.8,0.0
2023-02-14,2162.7,2162.7,2162.7,2162.7,0.0
2023-02-15,2184.9,2184.9,2184.9,2184.9,0.0
2023-02-16,2164.9,2164.9,2164.9,2164.9,0.0
2023-02-17,2169.2,2169.2,2169.2,2169.2,0.0
2023-02-21,2104.2,2104.2,2104.2,2104.2,0.0
2023-02-22,2109.6,2109.6,2109.6,2109.6,0.0
2023-02-23,2125.1,2125.1,2125.1,2125.1,0.0
2023-02-24,2105.0,2105.0,2105.0,2105.0,0.0
2023-02-27,2111.9,2111.9,2111.9,2111.9,0.0
2023-02-28,2114.3,2114.3,2114.3,2114.3,0.0
2023-03-01,2113.2,2113.2,2113.2,2113.2,0.0
2023-03-02,2117.0,2117.0,2117.0,2117.0,0.0
2023-03-03,2146.8,2146.8,2146.8,2146.8,0.0
2023-03-06,2120.2,2120.2,2120.2,2120.2,0.0
2023-03-07,2103.3,2103.3,2103.3,2103.3,0.0
2023-03-08,2103.0,2103.0,2103.0,2103.0,0.0
2023-03-09,2044.3,2044.3,2044.3,2044.3,0.0
2023-03-10,1983.7,1983.7,1983.7,1983.7,0.0
2023-03-13,1950.9,1950.9,1950.9,1950.9,0.0
2023-03-14,1988.7,1988.7,1988.7,1988.7,0.0
2023-03-15,1950.7,1950.7,1950.7,1950.7,0.0
2023-03-16,1980.6,1980.6,1980.6,1980.6,0.0
2023-03-17,1929.3,1929.3,1929.3,1929.3,0.0
2023-03-20,1951.1,1951.1,1951.1,1951.1,0.0
2023-03-21,1986.4,1986.4,1986.4,1986.4,0.0
2023-03-22,1932.8,1932.8,1932.8,1932.8,0.0
2023-03-23,1923.0,1923.0,1923.0,1923.0,0.0
2023-03-24,1938.0,1938.0,1938.0,1938.0,0.0
2023-03-27,1958.0,1958.0,1958.0,1958.0,0.0
2023-03-28,1957.8,1957.8,1957.8,1957.8,0.0
2023-03-29,1977.9,1977.9,1977.9,1977.9,0.0
2023-03-30,1974.2,1974.2,1974.2,1974.2,0.0
2023-03-31,2013.0,2013.0,2013.0,2013.0,0.0
2023-04-03,2012.1,2012.1,2012.1,2012.1,0.0
2023-04-04,1974.6,1974.6,1974.6,1974.6,0.0
2023-04-05,1956.0,1956.0,1956.0,1956.0,0.0
2023-04-06,1957.6,1957.6,1957.6,1957.6,0.0
2023-04-10,1977.1,1977.1,1977.1,1977.1,0.0
2023-04-11,1992.7,1992.7,1992.7,1992.7,0.0
2023-04-12,1978.2,1978.2,1978.2,1978.2,0.0
2023-04-13,2003.7,2003.7,2003.7,2003.7,0.0
2023-04-14,1986.5,1986.5,1986.5,1986.5,0.0
2023-04-17,2009.7,2009.7,2009.7,2009.7,0.0
2023-04-18,2001.7,2001.7,2001.7,2001.7,0.0
2023-04-19,2005.4,2005.4,2005.4,2005.4,0.0
2023-04-20,1993.7,1993.7,1993.7,1993.7,0.0
2023-04-21,1996.9,1996.9,1996.9,1996.9,0.0
2023-04-24,1993.4,1993.4,1993.4,1993.4,0.0
2023-04-25,1945.7,1945.7,1945.7,1945.7,0.0
2023-04-26,1928.0,1928.0,1928.0,1928.0,0.0
2023-04-27,1949.5,1949.5,1949.5,1949.5,0.0
2023-04-28,1970.1,1970.1,1970.1,1970.1,0.0
2023-05-01,1970.1,1970.1,1970.1,1970.1,0.0
2023-05-02,1929.0,1929.0,1929.0,1929.0,0.0
2023-05-03,1935.0,1935.0,1935.0,1935.0,0.0
2023-05-04,1912.9,1912.9,1912.9,1912.9,0.0
2023-05-05,1957.8,1957.8,1957.8,1957.8,0.0
2023-05-08,1952.3,1952.3,1952.3,1952.3,0.0
2023-05-09,1947.0,1947.0,1947.0,1947.0,0.0
2023-05-10,1957.2,1957.2,1957.2,1957.2,0.0
2023-05-11,1941.0,1941.0,1941.0,1941.0,0.0
2023-05-12,1936.1,1936.1,1936.1,1936.1,0.0
2023-05-15,1958.1,1958.1,1958.1,1958.1,0.0
2023-05-16,1931.1,1931.1,1931.1,1931.1,0.0
2023-05-17,1972.2,1972.2,1972.2,1972.2,0.0
2023-05-18,1984.9,1984.9,1984.9,1984.9,0.0
2023-05-19,1971.6,1971.6,1971.6,1971.6,0.0
2023-05-22,1995.0,1995.0,1995.0,1995.0,0.0
2023-05-23,1986.5,1986.5,1986.5,1986.5,0.0
2023-05-24,1963.5,1963.5,1963.5,1963.5,0.0
2023-05-25,1949.5,1949.5,1949.5,1949.5,0.0
2023-05-26,1969.4,1969.4,1969.4,1969.4,0.0
2023-05-30,1962.5,1962.5,1962.5,1962.5,0.0
2023-05-31,1942.5,1942.5,1942.5,1942.5,0.0
2023-06-01,1962.1,1962.1,1962.1,1962.1,0.0
2023-06-02,2032.8,2032.8,2032.8,2032.8,0.0
2023-06-05,2005.2,2005.2,2005.2,2005.2,0.0
2023-06-06,2058.5,2058.5,2058.5,2058.5,0.0
2023-06-07,2095.8,2095.8,2095.8,2095.8,0.0
2023-06-08,2092.4,2092.4,2092.4,2092.4,0.0
2023-06-09,2076.1,2076.1,2076.1,2076.1,0.0
2023-06-12,2083.6,2083.6,2083.6,2083.6,0.0
2023-06-13,2110.0,2110.0,2110.0,2110.0,0.0
2023-06-14,2083.7,2083.7,2083.7,2083.7,0.0
2023-06-15,2098.0,2098.0,2098.0,2098.0,0.0
2023-06-16,2084.6,2084.6,2084.6,2084.6,0.0
2023-06-20,2074.6,2074.6,2074.6,2074.6,0.0
2023-06-21,2070.2,2070.2,2070.2,2070.2,0.0
2023-06-22,2052.7,2052.7,2052.7,2052.7,0.0
2023-06-23,2023.5,2023.5,2023.5,2023.5,0.0
2023-06-26,2025.6,2025.6,2025.6,2025.6,0.0
2023-06-27,2054.5,2054.5,2054.5,2054.5,0.0
2023-06-28,2063.1,2063.1,2063.1,2063.1,0.0
2023-06-29,2088.9,2088.9,2088.9,2088.9,0.0
2023-06-30,2098.0,2098.0,2098.0,2098.0,0.0
2023-07-05,2078.6,2078.6,2078.6,2078.6,0.0
2023-07-06,2044.5,2044.5,2044.5,2044.5,0.0
2023-07-07,2068.1,2068.1,2068.1,2068.1,0.0
2023-07-10,2088.8,2101.2,2088.8,2101.2,1.0
2023-07-11,2121.5,2121.5,2121.5,2121.5,0.0
2023-07-12,2143.0,2143.0,2143.0,2143.0,0.0
2023-07-13,2162.6,2162.6,2162.6,2162.6,0.0
2023-07-14,2143.0,2143.0,2139.8,2139.8,1.0
2023-07-17,2162.1,2162.1,2162.1,2162.1,0.0
2023-07-18,2185.9,2188.9,2185.9,2188.9,1.0
2023-07-19,2198.4,2198.4,2198.4,2198.4,0.0
2023-07-20,2175.4,2178.9,2172.9,2178.9,2.0
2023-07-21,2179.5,2179.5,2170.8,2170.8,1.0
2023-07-24,2176.1,2176.1,2176.1,2176.1,0.0
2023-07-25,2185.9,2185.9,2176.4,2176.4,1.0
2023-07-26,2192.1,2192.1,2192.1,2192.1,0.0
2023-07-27,2174.0,2174.0,2164.4,2164.4,3.0
2023-07-28,2193.1,2193.1,2193.1,2193.1,0.0
2023-07-31,2215.9,2215.9,2215.9,2215.9,0.0
2023-08-01,2205.9,2205.9,2205.9,2205.9,0.0
2023-08-02,2176.5,2176.5,2176.5,2176.5,0.0
2023-08-03,2170.5,2170.5,2170.5,2170.5,0.0
2023-08-04,2175.1,2175.1,2164.6,2164.6,1.0
2023-08-07,2165.7,2165.7,2165.7,2165.7,0.0
2023-08-08,2153.2,2153.2,2153.2,2153.2,0.0
2023-08-09,2134.9,2134.9,2134.9,2134.9,0.0
2023-08-10,2125.0,2125.0,2125.0,2125.0,0.0
2023-08-11,2132.3,2132.3,2127.0,2127.0,1.0
2023-08-14,2121.1,2121.1,2121.1,2121.1,0.0
2023-08-15,2094.8,2094.8,2094.8,2094.8,0.0
2023-08-16,2067.9,2067.9,2067.9,2067.9,0.0
2023-08-17,2044.2,2044.2,2044.2,2044.2,0.0
2023-08-18,2045.6,2052.8,2045.6,2052.8,1.0
2023-08-21,2048.9,2048.9,2048.9,2048.9,0.0
2023-08-22,2044.0,2048.9,2043.4,2043.4,12.0
2023-08-23,2063.9,2063.9,2063.9,2063.9,1.0
2023-08-24,2053.2,2053.2,2038.5,2038.5,1.0
2023-08-25,2034.6,2045.5,2034.6,2045.5,2.0
2023-08-28,2066.1,2066.1,2061.6,2061.6,14.0
2023-08-29,2093.3,2093.3,2090.8,2090.8,1.0
2023-08-30,2100.6,2100.6,2099.3,2099.3,1.0
2023-08-31,2096.2,2096.2,2096.2,2096.2,0.0
2023-09-01,2118.2,2118.2,2118.2,2118.2,0.0
2023-09-05,2089.2,2089.2,2075.8,2075.8,7.0
2023-09-06,2067.2,2067.2,2067.2,2067.2,1.0
2023-09-07,2046.6,2046.6,2046.6,2046.6,0.0
2023-09-08,2040.7,2040.7,2040.7,2040.7,0.0
2023-09-11,2056.6,2056.6,2047.2,2047.2,6.0
2023-09-12,2042.0,2042.0,2042.0,2042.0,2.0
2023-09-13,2034.8,2034.8,2034.8,2034.8,6.0
2023-09-14,2055.3,2056.4,2051.0,2056.4,9.0
2023-09-15,2041.3,2043.9,2027.8,2032.1,13.0
2023-09-18,2033.7,2033.7,2023.5,2023.5,17.0
2023-09-19,2027.0,2027.0,2014.2,2015.7,15.0
2023-09-20,2031.1,2031.1,1991.5,1992.2,38.0
2023-09-21,1974.9,1976.0,1962.1,1962.1,36.0
2023-09-22,1973.0,1973.0,1960.2,1960.3,30.0
2023-09-25,1952.8,1968.2,1952.8,1963.5,24.0
2023-09-26,1953.8,1966.7,1940.6,1944.1,60.0
2023-09-27,1958.1,1967.2,1940.3,1956.0,87.0
2023-09-28,1963.5,1978.1,1958.1,1977.1,37.0
2023-09-29,1990.2,1990.2,1961.3,1962.0,72.0
2023-10-02,1958.1,1958.1,1924.7,1934.2,77.0
2023-10-03,1920.3,1920.3,1894.4,1901.5,59.0
2023-10-04,1902.2,1904.5,1878.3,1898.8,172.0
2023-10-05,1901.5,1904.5,1886.1,1901.6,136.0
2023-10-06,1891.2,1929.7,1882.6,1922.5,93.0
2023-10-09,1910.1,1935.0,1908.3,1930.6,48.0
2023-10-10,1938.7,1964.3,1938.7,1953.2,64.0
2023-10-11,1958.1,1966.6,1942.1,1952.8,40.0
2023-10-12,1944.1,1944.1,1894.7,1904.8,131.0
2023-10-13,1903.0,1903.0,1885.0,1885.0,32.0
2023-10-16,1910.7,1921.4,1901.3,1917.5,26.0
2023-10-17,1917.1,1953.8,1917.1,1938.4,57.0
2023-10-18,1914.5,1916.0,1896.0,1897.6,50.0
2023-10-19,1891.7,1906.3,1865.6,1865.6,157.0
2023-10-20,1866.6,1869.7,1843.2,1843.2,149.0
2023-10-23,1830.9,1850.6,1828.6,1831.9,99.0
2023-10-24,1848.0,1854.5,1832.9,1841.1,42.0
2023-10-25,1825.4,1827.4,1808.6,1814.9,104.0
