date,open,high,low,close,volume
2021-06-02,13.35,13.35,13.35,13.35,0.0
2021-06-03,13.14,13.14,13.14,13.14,0.0
2021-06-04,13.28,13.28,13.28,13.28,0.0
2021-06-07,13.29,13.29,13.29,13.29,0.0
2021-06-08,13.42,13.42,13.42,13.42,0.0
2021-06-09,13.33,13.33,13.33,13.33,0.0
2021-06-10,13.45,13.45,13.45,13.45,0.0
2021-06-11,13.52,13.58,13.52,13.58,1.0
2021-06-14,13.29,13.36,13.29,13.36,15.0
2021-06-15,13.24,13.24,13.22,13.22,10.0
2021-06-16,13.41,13.41,13.41,13.41,0.0
2021-06-17,13.21,13.38,13.21,13.3,15.0
2021-06-18,13.29,13.29,13.29,13.29,0.0
2021-06-21,13.24,13.62,13.24,13.62,15.0
2021-06-22,13.34,13.34,13.34,13.34,0.0
2021-06-23,13.54,13.54,13.54,13.54,0.0
2021-06-24,13.57,13.57,13.57,13.57,0.0
2021-06-25,13.7,13.72,13.7,13.72,2.0
2021-06-28,13.82,13.82,13.82,13.82,0.0
2021-06-29,13.68,13.68,13.68,13.68,0.0
2021-06-30,13.75,13.75,13.75,13.75,0.0
2021-07-01,13.5,13.5,13.5,13.5,0.0
2021-07-02,13.51,13.51,13.51,13.51,0.0
2021-07-06,13.28,13.28,13.28,13.28,0.0
2021-07-07,13.34,13.34,13.2,13.2,54.0
2021-07-08,13.26,13.26,13.15,13.15,60.0
2021-07-09,13.38,13.38,13.38,13.38,0.0
2021-07-12,13.21,13.21,13.21,13.21,0.0
2021-07-13,13.26,13.35,13.21,13.35,44.0
2021-07-14,13.23,13.24,13.23,13.24,5.0
2021-07-15,13.24,13.27,13.24,13.27,123.0
2021-07-16,13.26,13.29,13.25,13.29,97.0
2021-07-19,13.24,13.25,13.24,13.24,19.0
2021-07-20,13.24,13.27,13.24,13.27,79.0
2021-07-21,13.24,13.3,13.24,13.3,43.0
2021-07-22,13.32,13.32,13.32,13.32,0.0
2021-07-23,13.32,13.32,13.32,13.32,0.0
2021-07-26,13.26,13.55,13.26,13.55,26.0
2021-07-27,13.44,13.44,13.44,13.44,0.0
2021-07-28,13.34,13.35,13.34,13.35,26.0
2021-07-29,13.41,13.41,13.34,13.38,82.0
2021-07-30,13.34,13.4,13.31,13.4,29.0
2021-08-02,13.49,13.63,13.49,13.63,109.0
2021-08-03,13.53,13.57,13.53,13.53,19.0
2021-08-04,13.5,13.63,13.5,13.63,10.0
2021-08-05,13.77,13.89,13.7,13.79,53.0
2021-08-06,13.73,13.76,13.61,13.76,23.0
2021-08-09,13.67,13.67,13.67,13.67,0.0
2021-08-10,13.54,13.54,13.54,13.54,0.0
2021-08-11,13.68,13.68,13.68,13.68,0.0
2021-08-12,13.76,13.83,13.76,13.83,9.0
2021-08-13,13.84,13.92,13.84,13.92,12.0
2021-08-16,13.92,13.98,13.92,13.98,2.0
2021-08-17,13.9,13.98,13.82,13.98,6.0
2021-08-18,13.9,13.96,13.83,13.83,16.0
2021-08-19,13.65,13.7,13.62,13.7,24.0
2021-08-20,13.67,13.71,13.55,13.58,81.0
2021-08-23,13.63,13.9,13.63,13.9,13.0
2021-08-24,14.04,14.04,14.04,14.04,0.0
2021-08-25,14.13,14.13,14.13,14.13,0.0
2021-08-26,14.1,14.18,14.1,14.17,14.0
2021-08-27,14.19,14.19,14.19,14.19,0.0
2021-08-30,14.29,14.29,14.28,14.28,19.0
2021-08-31,14.42,14.42,14.42,14.42,0.0
2021-09-01,14.35,14.47,14.34,14.47,139.0
2021-09-02,14.45,14.72,14.43,14.72,21.0
2021-09-03,14.57,14.66,14.51,14.66,44.0
2021-09-07,14.56,14.73,14.56,14.73,29.0
2021-09-08,14.74,14.74,14.56,14.64,101.0
2021-09-09,14.75,14.75,14.75,14.75,0.0
2021-09-10,14.64,14.71,14.64,14.71,1.0
2021-09-13,14.66,14.79,14.66,14.79,1.0
2021-09-14,14.6,14.66,14.6,14.66,1.0
2021-09-15,14.67,14.68,14.67,14.68,27.0
2021-09-16,14.6,14.61,14.41,14.61,90.0
2021-09-17,14.64,14.64,14.47,14.64,86.0
2021-09-20,14.63,14.63,14.51,14.55,62.0
2021-09-21,14.61,14.67,14.57,14.67,11.0
2021-09-22,14.63,14.64,14.5,14.64,5.0
2021-09-23,14.74,14.89,14.74,14.89,41.0
2021-09-24,14.72,14.77,14.71,14.72,100.0
2021-09-27,14.78,14.88,14.67,14.77,51.0
2021-09-28,14.69,14.89,14.58,14.89,332.0
2021-09-29,14.88,14.88,14.87,14.88,3.0
2021-09-30,14.91,14.91,14.84,14.84,3.0
2021-10-01,14.67,14.97,14.67,14.97,1.0
2021-10-04,14.9,14.96,14.9,14.96,2.0
2021-10-05,15.04,15.14,14.85,15.1,152.0
2021-10-06,14.94,14.98,14.94,14.98,5.0
2021-10-07,15.01,15.01,14.89,14.98,4.0
2021-10-08,14.95,14.97,14.85,14.96,51.0
2021-10-11,14.81,15.01,14.81,14.99,17.0
2021-10-12,14.97,14.98,14.97,14.98,3.0
2021-10-13,14.96,15.0,14.9,15.0,51.0
2021-10-14,15.06,15.12,15.06,15.11,189.0
2021-10-15,15.2,15.2,15.2,15.2,0.0
2021-10-18,15.17,15.29,15.13,15.29,100.0
2021-10-19,15.29,15.29,15.15,15.15,18.0
2021-10-20,15.1,15.1,14.88,15.04,241.0
2021-10-21,14.93,14.97,14.88,14.97,9.0
2021-10-22,15.13,15.13,14.93,14.98,8.0
2021-10-25,15.1,15.1,15.1,15.1,0.0
2021-10-26,15.29,15.29,15.1,15.1,143.0
2021-10-27,15.12,15.12,15.12,15.12,0.0
2021-10-28,15.09,15.1,15.02,15.02,8.0
2021-10-29,14.9,14.99,14.88,14.9,50.0
2021-11-01,15.01,15.15,14.89,14.94,189.0
2021-11-02,14.93,15.16,14.91,15.1,39.0
2021-11-03,14.95,15.15,14.92,15.1,230.0
2021-11-04,15.11,15.12,15.05,15.05,21.0
2021-11-05,15.13,15.18,15.13,15.18,1.0
2021-11-08,15.08,15.17,15.08,15.17,1.0
2021-11-09,15.1,15.13,15.1,15.13,1.0
2021-11-10,15.1,15.17,14.99,14.99,94.0
2021-11-11,14.99,15.13,14.98,15.11,184.0
2021-11-12,15.05,15.19,15.03,15.08,6.0
2021-11-15,15.15,15.15,15.15,15.15,0.0
2021-11-16,15.14,15.2,15.1,15.17,71.0
2021-11-17,15.14,15.22,15.1,15.1,115.0
2021-11-18,15.09,15.16,15.08,15.16,99.0
2021-11-19,15.07,15.21,15.07,15.12,49.0
2021-11-22,15.03,15.2,15.03,15.14,66.0
2021-11-23,15.08,15.21,15.06,15.19,62.0
2021-11-24,15.15,15.19,15.06,15.19,34.0
2021-11-26,15.04,15.15,14.95,15.1,241.0
2021-11-29,15.2,15.2,14.94,15.1,214.0
2021-11-30,15.03,15.16,15.02,15.12,60.0
2021-12-01,15.26,15.26,15.11,15.18,56.0
2021-12-02,15.11,15.21,15.07,15.07,15.0
2021-12-03,15.02,15.13,15.01,15.01,41.0
2021-12-06,15.01,15.03,15.01,15.02,4.0
2021-12-07,15.08,15.13,15.08,15.1,3.0
2021-12-08,15.25,15.25,15.18,15.18,18.0
2021-12-09,15.09,15.09,15.09,15.09,0.0
2021-12-10,15.19,15.19,15.19,15.19,0.0
2021-12-13,15.19,15.19,15.09,15.17,12.0
2021-12-14,15.08,15.2,15.06,15.2,34.0
2021-12-15,15.25,15.3,15.2,15.26,61.0
2021-12-16,15.25,15.31,15.25,15.31,19.0
2021-12-17,15.35,15.35,15.26,15.27,34.0
2021-12-20,15.19,15.26,15.17,15.26,231.0
2021-12-21,15.23,15.35,15.17,15.21,38.0
2021-12-22,15.21,15.31,15.16,15.31,11.0
2021-12-23,15.35,15.35,15.35,15.35,0.0
2021-12-27,15.34,15.34,15.34,15.34,0.0
2021-12-28,15.26,15.29,15.2,15.29,11.0
2021-12-29,15.29,15.39,15.29,15.39,3.0
2021-12-30,15.26,15.39,15.26,15.39,4.0
2021-12-31,15.61,15.61,15.61,15.61,0.0
2022-01-03,15.53,15.56,15.49,15.56,7.0
2022-01-04,15.44,15.48,15.35,15.35,55.0
2022-01-05,15.31,15.31,15.25,15.29,35.0
2022-01-06,15.19,15.25,15.19,15.24,24.0
2022-01-07,15.25,15.33,15.21,15.3,312.0
2022-01-10,15.38,15.38,15.24,15.31,65.0
2022-01-11,15.42,15.42,15.27,15.3,51.0
2022-01-12,15.37,15.39,15.37,15.38,12.0
2022-01-13,15.39,15.4,15.28,15.37,27.0
2022-01-14,15.28,15.47,15.28,15.41,23.0
2022-01-18,15.31,15.49,15.31,15.44,21.0
2022-01-19,15.43,15.54,15.41,15.53,31.0
2022-01-20,15.52,15.6,15.52,15.6,30.0
2022-01-21,15.55,15.56,15.54,15.56,20.0
2022-01-24,15.46,15.46,15.25,15.34,162.0
2022-01-25,15.32,15.42,15.28,15.42,38.0
2022-01-26,15.45,15.45,15.3,15.4,59.0
2022-01-27,15.26,15.31,15.25,15.31,76.0
2022-01-28,15.26,15.27,15.09,15.26,61.0
2022-01-31,15.34,15.34,15.14,15.21,58.0
2022-02-01,15.21,15.31,15.18,15.28,14.0
2022-02-02,15.18,15.44,15.18,15.2,29.0
2022-02-03,15.17,15.52,15.15,15.46,80.0
2022-02-04,15.39,15.51,15.37,15.38,85.0
2022-02-07,15.39,15.52,15.39,15.51,19.0
2022-02-08,15.52,15.52,15.4,15.46,9.0
