date,open,high,low,close,volume
2021-12-15,648.5,648.5,648.5,648.5,0.0
2021-12-16,656.75,656.75,656.75,656.75,0.0
2021-12-17,654.5,655.75,654.5,655.75,3.0
2021-12-20,654.5,654.5,654.5,654.5,0.0
2021-12-21,657.0,657.0,657.0,657.0,0.0
2021-12-22,657.75,658.75,657.75,658.25,5.0
2021-12-23,659.5,659.5,659.5,659.5,0.0
2021-12-27,664.25,664.25,664.25,664.25,0.0
2021-12-28,657.75,657.75,657.75,657.75,0.0
2021-12-29,663.25,663.25,663.25,663.25,0.0
2021-12-30,655.75,655.75,655.75,655.75,0.0
2021-12-31,657.25,657.25,657.25,657.25,0.0
2022-01-03,660.5,660.5,660.5,660.5,0.0
2022-01-04,665.75,665.75,665.75,665.75,0.0
2022-01-05,664.5,664.5,664.5,664.5,0.0
2022-01-06,675.75,675.75,675.75,675.75,0.0
2022-01-07,673.75,686.5,673.5,686.5,19.0
2022-01-10,690.0,693.75,688.5,693.75,4.0
2022-01-11,690.75,694.0,690.5,692.75,7.0
2022-01-12,691.0,701.5,686.75,701.5,22.0
2022-01-13,700.5,705.75,700.5,703.75,11.0
2022-01-14,695.25,695.5,695.25,695.5,1.0
2022-01-18,695.0,695.0,693.25,693.25,4.0
2022-01-19,707.0,707.0,707.0,707.0,0.0
2022-01-20,702.5,702.5,702.5,702.5,1.0
2022-01-21,703.0,703.0,703.0,703.0,0.0
2022-01-24,698.5,706.25,698.5,706.25,4.0
2022-01-25,711.75,717.0,711.75,717.0,6.0
2022-01-26,714.75,715.75,714.75,715.75,1.0
2022-01-27,714.5,714.5,710.25,710.75,10.0
2022-01-28,711.5,713.5,711.5,713.5,1.0
2022-01-31,709.5,709.5,709.5,709.5,0.0
2022-02-01,719.5,719.5,719.5,719.5,0.0
2022-02-02,715.25,717.25,715.25,717.25,3.0
2022-02-03,711.75,711.75,710.25,711.75,5.0
2022-02-04,711.5,713.5,711.5,713.5,3.0
2022-02-07,717.25,720.25,717.0,720.25,4.0
2022-02-08,719.5,720.75,719.5,720.75,15.0
2022-02-09,719.5,732.5,719.5,732.5,21.0
2022-02-10,735.25,737.5,726.5,726.5,15.0
2022-02-11,721.5,732.0,721.5,732.0,5.0
2022-02-14,736.5,736.5,736.5,736.5,0.0
2022-02-15,726.75,729.5,726.75,729.5,27.0
2022-02-16,733.5,733.5,729.5,731.5,29.0
2022-02-17,734.75,736.5,734.75,734.75,25.0
2022-02-18,733.75,735.5,733.75,735.5,1.0
2022-02-22,735.5,744.75,735.5,744.75,8.0
2022-02-23,744.5,747.5,743.25,747.5,6.0
2022-02-24,750.75,783.5,739.75,739.75,22.0
2022-02-25,734.75,734.75,713.0,713.0,1.0
2022-02-28,733.75,733.75,733.75,733.75,0.0
2022-03-01,752.0,759.75,750.75,752.25,41.0
2022-03-02,743.25,743.5,741.25,742.0,28.0
2022-03-03,741.5,741.5,726.75,726.75,5.0
2022-03-04,744.0,753.5,737.0,737.0,14.0
2022-03-07,736.5,749.75,736.5,749.75,19.0
2022-03-08,752.25,752.25,749.5,749.5,2.0
2022-03-09,745.5,751.25,745.5,751.25,12.0
