date,open,high,low,close,volume
2021-07-15,878.75,878.75,878.75,878.75,0.0
2021-07-16,895.5,895.5,895.5,895.5,0.0
2021-07-19,899.0,899.0,899.0,899.0,0.0
2021-07-20,895.0,895.0,895.0,895.0,0.0
2021-07-21,908.0,908.0,908.0,908.0,0.0
2021-07-22,890.0,890.0,890.0,890.0,0.0
2021-07-23,882.75,882.75,882.75,882.75,0.0
2021-07-26,876.75,876.75,876.75,876.75,0.0
2021-07-27,872.75,872.75,872.75,872.75,0.0
2021-07-28,884.5,884.5,884.5,884.5,0.0
2021-07-29,901.5,901.5,901.5,901.5,0.0
2021-07-30,902.0,902.0,902.0,902.0,0.0
2021-08-02,924.0,924.0,924.0,924.0,0.0
2021-08-03,919.5,919.5,919.5,919.5,0.0
2021-08-04,918.0,918.0,918.0,918.0,0.0
2021-08-05,916.0,916.0,916.0,916.0,0.0
2021-08-06,931.0,931.0,931.0,931.0,0.0
2021-08-09,927.75,927.75,927.75,927.75,0.0
2021-08-10,930.5,930.5,930.5,930.5,0.0
2021-08-11,924.75,924.75,924.75,924.75,0.0
2021-08-12,928.0,928.0,928.0,928.0,0.0
2021-08-13,936.75,936.75,936.75,936.75,0.0
2021-08-16,941.0,941.0,941.0,941.0,0.0
2021-08-17,926.0,926.0,926.0,926.0,0.0
2021-08-18,923.0,923.0,923.0,923.0,0.0
2021-08-19,911.5,911.5,911.5,911.5,0.0
2021-08-20,901.5,901.5,901.5,901.5,0.0
2021-08-23,914.0,914.0,914.0,914.0,0.0
2021-08-24,913.0,913.0,913.0,913.0,0.0
2021-08-25,904.0,904.0,904.0,904.0,0.0
2021-08-26,914.75,914.75,914.75,914.75,0.0
2021-08-27,914.0,914.0,914.0,914.0,0.0
2021-08-30,911.75,911.75,911.75,911.75,0.0
2021-08-31,927.0,927.0,927.0,927.0,0.0
2021-09-01,915.0,915.0,915.0,915.0,0.0
2021-09-02,916.5,916.5,916.5,916.5,0.0
2021-09-03,923.75,923.75,923.75,923.75,0.0
2021-09-07,911.5,911.5,911.5,911.5,0.0
2021-09-08,903.5,903.5,903.5,903.5,0.0
2021-09-09,886.25,886.25,886.25,886.25,0.0
2021-09-10,897.75,897.75,897.75,897.75,0.0
2021-09-13,894.75,894.75,894.75,894.75,0.0
2021-09-14,909.0,909.0,909.0,909.0,0.0
2021-09-15,916.5,916.5,916.5,916.5,0.0
2021-09-16,913.75,913.75,913.75,913.75,0.0
2021-09-17,910.75,910.75,910.75,910.75,0.0
2021-09-20,907.75,907.75,907.75,907.75,0.0
2021-09-21,902.75,902.75,902.75,902.75,0.0
2021-09-22,922.5,922.5,922.5,922.5,0.0
2021-09-23,911.75,933.75,911.75,933.75,2.0
2021-09-24,931.0,931.0,931.0,931.0,0.0
2021-09-27,931.75,931.75,931.0,931.0,2.0
2021-09-28,913.75,913.75,913.75,913.75,0.0
2021-09-29,923.75,924.75,920.75,920.75,2.0
2021-09-30,937.0,937.0,937.0,937.0,0.0
2021-10-01,936.5,958.25,936.5,958.25,15.0
2021-10-04,969.25,969.25,969.25,969.25,0.0
2021-10-05,958.0,958.0,958.0,958.0,0.0
2021-10-06,958.25,958.25,958.0,958.0,5.0
2021-10-07,963.75,969.0,963.75,969.0,5.0
2021-10-08,964.0,964.0,964.0,964.0,0.0
2021-10-11,968.0,968.0,968.0,968.0,0.0
2021-10-12,962.75,962.75,962.75,962.75,0.0
2021-10-13,949.25,949.25,949.25,949.25,0.0
2021-10-14,955.0,955.0,955.0,955.0,0.0
2021-10-15,964.0,964.0,964.0,964.0,0.0
2021-10-18,963.25,963.25,963.25,963.25,0.0
